创建为新数据集,样品 096 用户 Administrator 日期 星期日, 十一月 05 2017
cm-1,%T
10000.00,1.33
9999.00,1.33
9998.00,1.33
9997.00,1.33
9996.00,1.33
9995.00,1.32
9994.00,1.32
9993.00,1.32
9992.00,1.32
9991.00,1.32
9990.00,1.32
9989.00,1.32
9988.00,1.32
9987.00,1.32
9986.00,1.32
9985.00,1.32
9984.00,1.32
9983.00,1.32
9982.00,1.33
9981.00,1.33
9980.00,1.33
9979.00,1.33
9978.00,1.33
9977.00,1.33
9976.00,1.33
9975.00,1.33
9974.00,1.33
9973.00,1.33
9972.00,1.33
9971.00,1.32
9970.00,1.32
9969.00,1.32
9968.00,1.32
9967.00,1.32
9966.00,1.32
9965.00,1.32
9964.00,1.32
9963.00,1.32
9962.00,1.32
9961.00,1.32
9960.00,1.32
9959.00,1.32
9958.00,1.32
9957.00,1.32
9956.00,1.32
9955.00,1.32
9954.00,1.32
9953.00,1.32
9952.00,1.32
9951.00,1.32
9950.00,1.32
9949.00,1.32
9948.00,1.32
9947.00,1.32
9946.00,1.32
9945.00,1.32
9944.00,1.32
9943.00,1.32
9942.00,1.32
9941.00,1.32
9940.00,1.32
9939.00,1.32
9938.00,1.32
9937.00,1.32
9936.00,1.32
9935.00,1.32
9934.00,1.32
9933.00,1.32
9932.00,1.32
9931.00,1.32
9930.00,1.32
9929.00,1.32
9928.00,1.32
9927.00,1.32
9926.00,1.32
9925.00,1.31
9924.00,1.31
9923.00,1.31
9922.00,1.30
9921.00,1.30
9920.00,1.30
9919.00,1.30
9918.00,1.29
9917.00,1.29
9916.00,1.29
9915.00,1.29
9914.00,1.29
9913.00,1.29
9912.00,1.29
9911.00,1.29
9910.00,1.29
9909.00,1.29
9908.00,1.29
9907.00,1.29
9906.00,1.29
9905.00,1.29
9904.00,1.29
9903.00,1.29
9902.00,1.29
9901.00,1.29
9900.00,1.29
9899.00,1.29
9898.00,1.29
9897.00,1.29
9896.00,1.29
9895.00,1.29
9894.00,1.28
9893.00,1.28
9892.00,1.28
9891.00,1.28
9890.00,1.28
9889.00,1.28
9888.00,1.28
9887.00,1.28
9886.00,1.27
9885.00,1.27
9884.00,1.27
9883.00,1.27
9882.00,1.27
9881.00,1.27
9880.00,1.27
9879.00,1.28
9878.00,1.28
9877.00,1.28
9876.00,1.28
9875.00,1.28
9874.00,1.28
9873.00,1.28
9872.00,1.28
9871.00,1.28
9870.00,1.28
9869.00,1.28
9868.00,1.29
9867.00,1.29
9866.00,1.29
9865.00,1.29
9864.00,1.30
9863.00,1.30
9862.00,1.30
9861.00,1.31
9860.00,1.31
9859.00,1.31
9858.00,1.32
9857.00,1.32
9856.00,1.32
9855.00,1.32
9854.00,1.33
9853.00,1.33
9852.00,1.33
9851.00,1.33
9850.00,1.33
9849.00,1.32
9848.00,1.32
9847.00,1.32
9846.00,1.31
9845.00,1.31
9844.00,1.31
9843.00,1.30
9842.00,1.30
9841.00,1.30
9840.00,1.29
9839.00,1.29
9838.00,1.29
9837.00,1.28
9836.00,1.28
9835.00,1.28
9834.00,1.28
9833.00,1.28
9832.00,1.28
9831.00,1.28
9830.00,1.28
9829.00,1.28
9828.00,1.28
9827.00,1.28
9826.00,1.28
9825.00,1.28
9824.00,1.29
9823.00,1.29
9822.00,1.29
9821.00,1.29
9820.00,1.29
9819.00,1.28
9818.00,1.28
9817.00,1.28
9816.00,1.28
9815.00,1.28
9814.00,1.28
9813.00,1.28
9812.00,1.28
9811.00,1.28
9810.00,1.28
9809.00,1.28
9808.00,1.27
9807.00,1.27
9806.00,1.27
9805.00,1.27
9804.00,1.27
9803.00,1.27
9802.00,1.27
9801.00,1.27
9800.00,1.27
9799.00,1.27
9798.00,1.27
9797.00,1.27
9796.00,1.27
9795.00,1.27
9794.00,1.27
9793.00,1.27
9792.00,1.27
9791.00,1.27
9790.00,1.27
9789.00,1.27
9788.00,1.27
9787.00,1.27
9786.00,1.27
9785.00,1.27
9784.00,1.27
9783.00,1.27
9782.00,1.26
9781.00,1.26
9780.00,1.26
9779.00,1.26
9778.00,1.26
9777.00,1.26
9776.00,1.26
