创建为新数据集,样品 315 用户 Administrator 日期 星期四, 三月 08 2018
cm-1,%T
10000.00,1.28
9999.00,1.28
9998.00,1.29
9997.00,1.29
9996.00,1.29
9995.00,1.29
9994.00,1.29
9993.00,1.29
9992.00,1.29
9991.00,1.29
9990.00,1.29
9989.00,1.29
9988.00,1.28
9987.00,1.28
9986.00,1.28
9985.00,1.28
9984.00,1.28
9983.00,1.28
9982.00,1.28
9981.00,1.28
9980.00,1.28
9979.00,1.28
9978.00,1.27
9977.00,1.27
9976.00,1.27
9975.00,1.27
9974.00,1.27
9973.00,1.27
9972.00,1.27
9971.00,1.27
9970.00,1.27
9969.00,1.27
9968.00,1.27
9967.00,1.27
9966.00,1.27
9965.00,1.27
9964.00,1.27
9963.00,1.28
9962.00,1.28
9961.00,1.28
9960.00,1.28
9959.00,1.28
9958.00,1.28
9957.00,1.28
9956.00,1.28
9955.00,1.28
9954.00,1.28
9953.00,1.27
9952.00,1.27
9951.00,1.27
9950.00,1.26
9949.00,1.26
9948.00,1.25
9947.00,1.25
9946.00,1.24
9945.00,1.23
9944.00,1.23
9943.00,1.22
9942.00,1.22
9941.00,1.21
9940.00,1.20
9939.00,1.20
9938.00,1.20
9937.00,1.19
9936.00,1.19
9935.00,1.19
9934.00,1.19
9933.00,1.19
9932.00,1.19
9931.00,1.19
9930.00,1.19
9929.00,1.19
9928.00,1.19
9927.00,1.19
9926.00,1.20
9925.00,1.20
9924.00,1.20
9923.00,1.20
9922.00,1.20
9921.00,1.20
9920.00,1.21
9919.00,1.21
9918.00,1.21
9917.00,1.22
9916.00,1.22
9915.00,1.23
9914.00,1.23
9913.00,1.24
9912.00,1.24
9911.00,1.25
9910.00,1.25
9909.00,1.26
9908.00,1.26
9907.00,1.27
9906.00,1.27
9905.00,1.27
9904.00,1.28
9903.00,1.28
9902.00,1.28
9901.00,1.28
9900.00,1.28
9899.00,1.28
9898.00,1.28
9897.00,1.28
9896.00,1.28
9895.00,1.28
9894.00,1.27
9893.00,1.27
9892.00,1.27
9891.00,1.26
9890.00,1.26
9889.00,1.26
9888.00,1.26
9887.00,1.25
9886.00,1.25
9885.00,1.25
9884.00,1.25
9883.00,1.25
9882.00,1.24
9881.00,1.24
9880.00,1.24
9879.00,1.24
9878.00,1.24
9877.00,1.24
9876.00,1.24
9875.00,1.24
9874.00,1.24
9873.00,1.24
9872.00,1.24
9871.00,1.24
9870.00,1.24
9869.00,1.24
9868.00,1.24
9867.00,1.24
9866.00,1.24
9865.00,1.24
9864.00,1.24
9863.00,1.24
9862.00,1.25
9861.00,1.25
9860.00,1.25
9859.00,1.25
9858.00,1.25
9857.00,1.25
9856.00,1.25
9855.00,1.25
9854.00,1.26
9853.00,1.26
9852.00,1.26
9851.00,1.26
9850.00,1.26
9849.00,1.27
9848.00,1.27
9847.00,1.27
9846.00,1.27
9845.00,1.27
9844.00,1.28
9843.00,1.28
9842.00,1.28
9841.00,1.28
9840.00,1.28
9839.00,1.28
9838.00,1.28
9837.00,1.28
9836.00,1.28
9835.00,1.27
9834.00,1.27
9833.00,1.27
9832.00,1.27
9831.00,1.26
9830.00,1.26
9829.00,1.26
9828.00,1.26
9827.00,1.25
9826.00,1.25
9825.00,1.25
9824.00,1.25
9823.00,1.24
9822.00,1.24
9821.00,1.24
9820.00,1.24
9819.00,1.24
9818.00,1.24
9817.00,1.24
9816.00,1.24
9815.00,1.24
9814.00,1.24
9813.00,1.24
9812.00,1.24
9811.00,1.24
9810.00,1.24
9809.00,1.24
9808.00,1.25
9807.00,1.25
9806.00,1.25
9805.00,1.25
9804.00,1.25
9803.00,1.26
9802.00,1.26
9801.00,1.26
9800.00,1.26
9799.00,1.25
9798.00,1.25
9797.00,1.25
9796.00,1.25
9795.00,1.25
9794.00,1.25
9793.00,1.25
9792.00,1.24
9791.00,1.24
9790.00,1.24
9789.00,1.24
9788.00,1.24
9787.00,1.24
9786.00,1.24
9785.00,1.24
9784.00,1.24
9783.00,1.24
9782.00,1.25
9781.00,1.25
9780.00,1.25
9779.00,1.25
9778.00,1.25
9777.00,1.25
9776.00,1.26
9775.00,1.26
9774.00,1.26
9773.00,1.26
9772.00,1.26
9771.00,1.26
9770.00,1.26
9769.00,1.27
9768.00,1.27
9767.00,1.27
9766.00,1.27
9765.00,1.27
9764.00,1.27
9763.00,1.27
9762.00,1.27
9761.00,1.27
9760.00,1.27
9759.00,1.27
9758.00,1.27
9757.00,1.27
9756.00,1.28
9755.00,1.28
9754.00,1.28
9753.00,1.28
9752.00,1.28
9751.00,1.28
9750.00,1.28
9749.00,1.28
9748.00,1.28
9747.00,1.28
9746.00,1.28
9745.00,1.28
9744.00,1.28
9743.00,1.27
9742.00,1.27
9741.00,1.27
9740.00,1.27
9739.00,1.26
9738.00,1.26
9737.00,1.26
9736.00,1.25
9735.00,1.25
9734.00,1.25
9733.00,1.25
9732.00,1.25
9731.00,1.24
9730.00,1.24
9729.00,1.24
9728.00,1.24
9727.00,1.24
9726.00,1.24
9725.00,1.24
9724.00,1.25
9723.00,1.25
9722.00,1.25
9721.00,1.25
9720.00,1.25
9719.00,1.25
9718.00,1.25
9717.00,1.25
9716.00,1.25
9715.00,1.25
9714.00,1.25
9713.00,1.25
9712.00,1.25
9711.00,1.25
9710.00,1.25
9709.00,1.25
9708.00,1.25
9707.00,1.25
9706.00,1.25
9705.00,1.25
9704.00,1.25
9703.00,1.25
9702.00,1.24
9701.00,1.24
9700.00,1.24
9699.00,1.24
9698.00,1.24
9697.00,1.24
9696.00,1.24
9695.00,1.24
9694.00,1.24
9693.00,1.24
9692.00,1.24
9691.00,1.24
9690.00,1.24
9689.00,1.24
9688.00,1.24
9687.00,1.25
9686.00,1.25
9685.00,1.25
9684.00,1.25
9683.00,1.25
9682.00,1.25
9681.00,1.25
9680.00,1.25
9679.00,1.25
9678.00,1.25
9677.00,1.25
9676.00,1.25
9675.00,1.25
9674.00,1.25
9673.00,1.25
9672.00,1.25
9671.00,1.24
9670.00,1.24
9669.00,1.24
9668.00,1.24
9667.00,1.24
9666.00,1.24
9665.00,1.23
9664.00,1.23
9663.00,1.23
9662.00,1.23
9661.00,1.23
9660.00,1.23
9659.00,1.23
9658.00,1.23
9657.00,1.23
9656.00,1.23
9655.00,1.23
9654.00,1.24
9653.00,1.24
9652.00,1.24
9651.00,1.24
9650.00,1.24
9649.00,1.24
9648.00,1.24
9647.00,1.24
9646.00,1.24
9645.00,1.24
9644.00,1.24
9643.00,1.24
9642.00,1.24
9641.00,1.24
9640.00,1.24
9639.00,1.24
9638.00,1.24
9637.00,1.24
9636.00,1.24
9635.00,1.24
9634.00,1.24
9633.00,1.24
9632.00,1.25
9631.00,1.25
9630.00,1.25
9629.00,1.25
9628.00,1.25
9627.00,1.25
9626.00,1.25
9625.00,1.25
9624.00,1.25
9623.00,1.26
9622.00,1.26
9621.00,1.26
9620.00,1.26
9619.00,1.26
9618.00,1.26
9617.00,1.26
9616.00,1.26
9615.00,1.26
9614.00,1.26
9613.00,1.26
9612.00,1.26
9611.00,1.26
9610.00,1.26
9609.00,1.26
9608.00,1.26
9607.00,1.26
9606.00,1.26
9605.00,1.26
9604.00,1.27
9603.00,1.27
9602.00,1.27
9601.00,1.27
9600.00,1.27
9599.00,1.27
9598.00,1.27
9597.00,1.27
9596.00,1.28
9595.00,1.28
9594.00,1.28
9593.00,1.28
9592.00,1.28
9591.00,1.28
9590.00,1.28
9589.00,1.28
9588.00,1.28
9587.00,1.27
9586.00,1.27
9585.00,1.27
9584.00,1.27
9583.00,1.27
9582.00,1.27
9581.00,1.26
9580.00,1.26
9579.00,1.26
9578.00,1.26
9577.00,1.26
9576.00,1.26
9575.00,1.26
9574.00,1.25
9573.00,1.25
9572.00,1.25
9571.00,1.25
9570.00,1.25
9569.00,1.25
9568.00,1.25
9567.00,1.25
9566.00,1.25
9565.00,1.25
9564.00,1.25
9563.00,1.25
9562.00,1.25
9561.00,1.25
9560.00,1.25
9559.00,1.24
9558.00,1.24
9557.00,1.24
9556.00,1.24
9555.00,1.24
9554.00,1.23
9553.00,1.23
9552.00,1.23
9551.00,1.23
9550.00,1.23
9549.00,1.23
9548.00,1.23
9547.00,1.23
9546.00,1.23
9545.00,1.23
9544.00,1.24
9543.00,1.24
9542.00,1.24
9541.00,1.24
9540.00,1.24
9539.00,1.24
9538.00,1.24
9537.00,1.25
9536.00,1.25
9535.00,1.25
9534.00,1.25
9533.00,1.25
9532.00,1.25
9531.00,1.25
9530.00,1.25
9529.00,1.25
9528.00,1.25
9527.00,1.25
9526.00,1.25
9525.00,1.25
9524.00,1.25
9523.00,1.26
9522.00,1.26
9521.00,1.26
9520.00,1.26
9519.00,1.26
9518.00,1.26
9517.00,1.26
9516.00,1.26
9515.00,1.26
9514.00,1.26
9513.00,1.26
9512.00,1.26
9511.00,1.26
9510.00,1.26
9509.00,1.26
9508.00,1.27
9507.00,1.27
9506.00,1.27
9505.00,1.27
9504.00,1.27
9503.00,1.27
9502.00,1.27
9501.00,1.27
9500.00,1.27
9499.00,1.27
9498.00,1.27
9497.00,1.27
9496.00,1.27
9495.00,1.27
9494.00,1.26
9493.00,1.26
9492.00,1.26
9491.00,1.26
9490.00,1.25
9489.00,1.25
9488.00,1.25
9487.00,1.24
9486.00,1.24
9485.00,1.24
9484.00,1.24
9483.00,1.24
9482.00,1.24
9481.00,1.24
9480.00,1.24
9479.00,1.24
9478.00,1.24
9477.00,1.24
9476.00,1.24
9475.00,1.25
9474.00,1.25
9473.00,1.25
9472.00,1.25
9471.00,1.25
9470.00,1.25
9469.00,1.26
9468.00,1.26
9467.00,1.26
9466.00,1.26
9465.00,1.26
9464.00,1.26
9463.00,1.25
9462.00,1.25
9461.00,1.25
9460.00,1.25
9459.00,1.25
9458.00,1.24
9457.00,1.24
9456.00,1.24
9455.00,1.24
9454.00,1.24
9453.00,1.23
9452.00,1.23
9451.00,1.23
9450.00,1.23
9449.00,1.23
9448.00,1.23
9447.00,1.23
9446.00,1.23
9445.00,1.23
9444.00,1.23
9443.00,1.23
9442.00,1.24
9441.00,1.24
9440.00,1.24
9439.00,1.24
9438.00,1.24
9437.00,1.24
9436.00,1.24
9435.00,1.24
9434.00,1.25
9433.00,1.25
9432.00,1.25
9431.00,1.25
9430.00,1.25
9429.00,1.26
9428.00,1.26
9427.00,1.26
9426.00,1.26
9425.00,1.27
9424.00,1.27
9423.00,1.27
9422.00,1.27
9421.00,1.28
9420.00,1.28
9419.00,1.28
9418.00,1.28
9417.00,1.28
9416.00,1.28
9415.00,1.28
9414.00,1.28
9413.00,1.28
9412.00,1.28
9411.00,1.28
9410.00,1.28
9409.00,1.28
9408.00,1.27
9407.00,1.27
9406.00,1.27
9405.00,1.27
9404.00,1.27
9403.00,1.26
9402.00,1.26
9401.00,1.26
9400.00,1.26
9399.00,1.26
9398.00,1.26
9397.00,1.26
9396.00,1.26
9395.00,1.26
9394.00,1.26
9393.00,1.26
9392.00,1.26
9391.00,1.26
9390.00,1.26
9389.00,1.26
9388.00,1.26
9387.00,1.26
9386.00,1.26
9385.00,1.26
9384.00,1.26
9383.00,1.26
9382.00,1.26
9381.00,1.25
9380.00,1.25
9379.00,1.25
9378.00,1.25
9377.00,1.25
9376.00,1.25
9375.00,1.25
9374.00,1.25
9373.00,1.25
9372.00,1.25
9371.00,1.25
9370.00,1.25
9369.00,1.25
9368.00,1.25
9367.00,1.25
9366.00,1.25
9365.00,1.26
9364.00,1.26
9363.00,1.26
9362.00,1.26
9361.00,1.26
9360.00,1.27
9359.00,1.27
9358.00,1.27
9357.00,1.27
9356.00,1.27
9355.00,1.27
9354.00,1.27
9353.00,1.27
9352.00,1.27
9351.00,1.27
9350.00,1.27
9349.00,1.27
9348.00,1.27
9347.00,1.27
9346.00,1.27
9345.00,1.27
9344.00,1.27
9343.00,1.27
9342.00,1.27
9341.00,1.27
9340.00,1.27
9339.00,1.27
9338.00,1.27
9337.00,1.27
9336.00,1.27
9335.00,1.27
9334.00,1.27
9333.00,1.27
9332.00,1.27
9331.00,1.27
9330.00,1.27
9329.00,1.27
9328.00,1.27
9327.00,1.27
9326.00,1.27
9325.00,1.27
9324.00,1.27
9323.00,1.27
9322.00,1.27
9321.00,1.27
9320.00,1.27
9319.00,1.27
9318.00,1.27
9317.00,1.27
9316.00,1.27
9315.00,1.27
9314.00,1.27
9313.00,1.27
9312.00,1.28
9311.00,1.28
9310.00,1.28
9309.00,1.28
9308.00,1.28
9307.00,1.28
9306.00,1.27
9305.00,1.27
9304.00,1.27
9303.00,1.27
9302.00,1.27
9301.00,1.27
9300.00,1.27
9299.00,1.27
9298.00,1.27
9297.00,1.27
9296.00,1.27
9295.00,1.27
9294.00,1.27
9293.00,1.27
9292.00,1.27
9291.00,1.27
9290.00,1.27
9289.00,1.27
9288.00,1.28
9287.00,1.28
9286.00,1.28
9285.00,1.28
9284.00,1.28
9283.00,1.28
9282.00,1.28
9281.00,1.28
9280.00,1.28
9279.00,1.27
9278.00,1.27
9277.00,1.27
9276.00,1.27
9275.00,1.27
9274.00,1.27
9273.00,1.27
9272.00,1.27
9271.00,1.27
9270.00,1.26
9269.00,1.26
9268.00,1.26
9267.00,1.26
9266.00,1.26
9265.00,1.26
