创建为新数据集,样品 603 用户 Administrator 日期 星期一, 七月 16 2018
cm-1,%T
10000.00,1.40
9999.00,1.40
9998.00,1.40
9997.00,1.40
9996.00,1.40
9995.00,1.40
9994.00,1.40
9993.00,1.40
9992.00,1.40
9991.00,1.40
9990.00,1.40
9989.00,1.40
9988.00,1.40
9987.00,1.40
9986.00,1.40
9985.00,1.40
9984.00,1.40
9983.00,1.40
9982.00,1.40
9981.00,1.40
9980.00,1.40
9979.00,1.40
9978.00,1.40
9977.00,1.39
9976.00,1.39
9975.00,1.39
9974.00,1.39
9973.00,1.39
9972.00,1.39
9971.00,1.39
9970.00,1.39
9969.00,1.39
9968.00,1.39
9967.00,1.39
9966.00,1.39
9965.00,1.39
9964.00,1.39
9963.00,1.39
9962.00,1.39
9961.00,1.39
9960.00,1.39
9959.00,1.39
9958.00,1.39
9957.00,1.39
9956.00,1.39
9955.00,1.40
9954.00,1.40
9953.00,1.40
9952.00,1.40
9951.00,1.40
9950.00,1.40
9949.00,1.40
9948.00,1.40
9947.00,1.40
9946.00,1.40
9945.00,1.40
9944.00,1.40
9943.00,1.40
9942.00,1.40
9941.00,1.40
9940.00,1.40
9939.00,1.40
9938.00,1.40
9937.00,1.40
9936.00,1.40
9935.00,1.40
9934.00,1.40
9933.00,1.40
9932.00,1.40
9931.00,1.40
9930.00,1.40
9929.00,1.40
9928.00,1.40
9927.00,1.40
9926.00,1.40
9925.00,1.40
9924.00,1.40
9923.00,1.40
9922.00,1.40
9921.00,1.39
9920.00,1.39
9919.00,1.39
9918.00,1.39
9917.00,1.39
9916.00,1.39
9915.00,1.39
9914.00,1.39
9913.00,1.39
9912.00,1.39
9911.00,1.39
9910.00,1.38
9909.00,1.38
9908.00,1.38
9907.00,1.38
9906.00,1.38
9905.00,1.38
9904.00,1.38
9903.00,1.38
9902.00,1.38
9901.00,1.38
9900.00,1.38
9899.00,1.38
9898.00,1.38
9897.00,1.38
9896.00,1.38
9895.00,1.38
9894.00,1.38
9893.00,1.38
9892.00,1.38
9891.00,1.38
9890.00,1.38
9889.00,1.38
9888.00,1.38
9887.00,1.38
9886.00,1.37
9885.00,1.37
9884.00,1.37
9883.00,1.37
9882.00,1.37
9881.00,1.36
9880.00,1.36
9879.00,1.36
9878.00,1.36
9877.00,1.36
9876.00,1.36
9875.00,1.36
9874.00,1.36
9873.00,1.36
9872.00,1.36
9871.00,1.36
9870.00,1.37
9869.00,1.37
9868.00,1.37
9867.00,1.37
9866.00,1.37
9865.00,1.37
9864.00,1.38
9863.00,1.38
9862.00,1.38
9861.00,1.38
9860.00,1.38
9859.00,1.38
9858.00,1.38
9857.00,1.38
9856.00,1.38
9855.00,1.38
9854.00,1.38
9853.00,1.38
9852.00,1.38
9851.00,1.38
9850.00,1.38
9849.00,1.38
9848.00,1.38
9847.00,1.38
9846.00,1.38
9845.00,1.38
9844.00,1.38
9843.00,1.38
9842.00,1.38
9841.00,1.38
9840.00,1.38
9839.00,1.38
9838.00,1.38
9837.00,1.38
9836.00,1.38
9835.00,1.38
9834.00,1.38
9833.00,1.39
9832.00,1.39
9831.00,1.39
9830.00,1.39
9829.00,1.39
9828.00,1.39
9827.00,1.38
9826.00,1.38
9825.00,1.38
9824.00,1.38
9823.00,1.38
9822.00,1.38
9821.00,1.38
9820.00,1.38
9819.00,1.38
9818.00,1.38
9817.00,1.38
9816.00,1.38
9815.00,1.38
9814.00,1.38
9813.00,1.38
9812.00,1.39
9811.00,1.39
9810.00,1.39
9809.00,1.39
9808.00,1.39
9807.00,1.39
9806.00,1.39
9805.00,1.39
9804.00,1.39
9803.00,1.39
9802.00,1.40
9801.00,1.40
9800.00,1.40
9799.00,1.40
9798.00,1.40
9797.00,1.40
9796.00,1.40
9795.00,1.40
9794.00,1.40
9793.00,1.40
9792.00,1.39
9791.00,1.39
9790.00,1.39
9789.00,1.39
9788.00,1.39
9787.00,1.39
9786.00,1.39
9785.00,1.39
9784.00,1.38
9783.00,1.38
9782.00,1.38
9781.00,1.38
9780.00,1.38
9779.00,1.38
9778.00,1.38
9777.00,1.38
9776.00,1.38
9775.00,1.38
9774.00,1.38
9773.00,1.38
9772.00,1.38
9771.00,1.38
9770.00,1.38
9769.00,1.38
9768.00,1.38
9767.00,1.38
9766.00,1.38
9765.00,1.38
9764.00,1.38
9763.00,1.38
9762.00,1.38
9761.00,1.38
9760.00,1.38
9759.00,1.38
9758.00,1.38
