创建为新数据集,样品 681 用户 Administrator 日期 星期四, 七月 19 2018
cm-1,%T
10000.00,1.30
9999.00,1.29
9998.00,1.29
9997.00,1.29
9996.00,1.28
9995.00,1.28
9994.00,1.28
9993.00,1.27
9992.00,1.27
9991.00,1.27
9990.00,1.27
9989.00,1.27
9988.00,1.27
9987.00,1.27
9986.00,1.26
9985.00,1.26
9984.00,1.26
9983.00,1.26
9982.00,1.26
9981.00,1.26
9980.00,1.26
9979.00,1.26
9978.00,1.26
9977.00,1.26
9976.00,1.26
9975.00,1.26
9974.00,1.26
9973.00,1.26
9972.00,1.26
9971.00,1.26
9970.00,1.26
9969.00,1.27
9968.00,1.27
9967.00,1.27
9966.00,1.27
9965.00,1.28
9964.00,1.28
9963.00,1.28
9962.00,1.28
9961.00,1.29
9960.00,1.29
9959.00,1.29
9958.00,1.29
9957.00,1.29
9956.00,1.29
9955.00,1.29
9954.00,1.29
9953.00,1.29
9952.00,1.29
9951.00,1.29
9950.00,1.29
9949.00,1.29
9948.00,1.29
9947.00,1.29
9946.00,1.29
9945.00,1.29
9944.00,1.28
9943.00,1.28
9942.00,1.28
9941.00,1.28
9940.00,1.28
9939.00,1.28
9938.00,1.28
9937.00,1.28
9936.00,1.27
9935.00,1.27
9934.00,1.27
9933.00,1.27
9932.00,1.27
9931.00,1.26
9930.00,1.26
9929.00,1.26
9928.00,1.26
9927.00,1.25
9926.00,1.25
9925.00,1.25
9924.00,1.25
9923.00,1.25
9922.00,1.24
9921.00,1.24
9920.00,1.24
9919.00,1.24
9918.00,1.24
9917.00,1.24
9916.00,1.24
9915.00,1.24
9914.00,1.24
9913.00,1.24
9912.00,1.24
9911.00,1.24
9910.00,1.24
9909.00,1.24
9908.00,1.25
9907.00,1.25
9906.00,1.25
9905.00,1.25
9904.00,1.26
9903.00,1.26
9902.00,1.26
9901.00,1.26
9900.00,1.27
9899.00,1.27
9898.00,1.27
9897.00,1.27
9896.00,1.27
9895.00,1.27
9894.00,1.27
9893.00,1.27
9892.00,1.27
9891.00,1.27
9890.00,1.27
9889.00,1.27
9888.00,1.27
9887.00,1.27
9886.00,1.26
9885.00,1.26
9884.00,1.26
9883.00,1.26
9882.00,1.26
9881.00,1.25
9880.00,1.25
9879.00,1.25
9878.00,1.25
9877.00,1.25
9876.00,1.25
9875.00,1.25
9874.00,1.25
9873.00,1.25
9872.00,1.25
9871.00,1.25
9870.00,1.25
9869.00,1.25
9868.00,1.25
9867.00,1.25
9866.00,1.25
9865.00,1.26
9864.00,1.26
9863.00,1.26
9862.00,1.26
9861.00,1.26
9860.00,1.26
9859.00,1.26
9858.00,1.27
9857.00,1.27
9856.00,1.27
9855.00,1.27
9854.00,1.27
9853.00,1.27
9852.00,1.27
9851.00,1.27
9850.00,1.28
9849.00,1.28
9848.00,1.28
9847.00,1.28
9846.00,1.28
9845.00,1.28
9844.00,1.28
9843.00,1.28
9842.00,1.27
9841.00,1.27
9840.00,1.27
9839.00,1.27
9838.00,1.27
9837.00,1.27
9836.00,1.27
9835.00,1.27
9834.00,1.28
9833.00,1.28
9832.00,1.28
9831.00,1.28
9830.00,1.28
9829.00,1.28
9828.00,1.28
9827.00,1.28
9826.00,1.28
9825.00,1.29
9824.00,1.29
9823.00,1.29
9822.00,1.29
9821.00,1.29
9820.00,1.29
9819.00,1.29
