创建为新数据集,样品 104 用户 Administrator 日期 星期六, 七月 21 2018
cm-1,%T
10000.00,1.40
9999.00,1.40
9998.00,1.40
9997.00,1.40
9996.00,1.40
9995.00,1.39
9994.00,1.39
9993.00,1.39
9992.00,1.39
9991.00,1.38
9990.00,1.38
9989.00,1.38
9988.00,1.38
9987.00,1.38
9986.00,1.37
9985.00,1.37
9984.00,1.37
9983.00,1.37
9982.00,1.37
9981.00,1.37
9980.00,1.37
9979.00,1.37
9978.00,1.38
9977.00,1.38
9976.00,1.38
9975.00,1.38
9974.00,1.39
9973.00,1.39
9972.00,1.39
9971.00,1.39
9970.00,1.39
9969.00,1.40
9968.00,1.40
9967.00,1.40
9966.00,1.40
9965.00,1.40
9964.00,1.40
9963.00,1.40
9962.00,1.40
9961.00,1.40
9960.00,1.40
9959.00,1.40
9958.00,1.40
9957.00,1.40
9956.00,1.40
9955.00,1.40
9954.00,1.40
9953.00,1.40
9952.00,1.40
9951.00,1.40
9950.00,1.40
9949.00,1.40
9948.00,1.40
9947.00,1.40
9946.00,1.40
9945.00,1.40
9944.00,1.40
9943.00,1.40
9942.00,1.40
9941.00,1.40
9940.00,1.40
9939.00,1.39
9938.00,1.39
9937.00,1.39
9936.00,1.39
9935.00,1.39
9934.00,1.39
9933.00,1.38
9932.00,1.38
9931.00,1.38
9930.00,1.38
9929.00,1.38
9928.00,1.38
9927.00,1.38
9926.00,1.38
9925.00,1.38
9924.00,1.38
9923.00,1.38
9922.00,1.38
9921.00,1.38
9920.00,1.38
9919.00,1.38
9918.00,1.38
9917.00,1.39
9916.00,1.39
9915.00,1.39
9914.00,1.39
9913.00,1.39
9912.00,1.40
9911.00,1.40
9910.00,1.40
9909.00,1.40
9908.00,1.41
9907.00,1.41
9906.00,1.41
9905.00,1.41
9904.00,1.41
9903.00,1.41
9902.00,1.41
9901.00,1.41
9900.00,1.41
9899.00,1.40
9898.00,1.40
9897.00,1.40
9896.00,1.39
9895.00,1.39
9894.00,1.39
9893.00,1.38
9892.00,1.38
9891.00,1.38
9890.00,1.38
9889.00,1.37
9888.00,1.37
9887.00,1.37
9886.00,1.37
9885.00,1.37
9884.00,1.37
9883.00,1.37
9882.00,1.38
9881.00,1.38
9880.00,1.38
9879.00,1.38
9878.00,1.39
9877.00,1.39
9876.00,1.39
9875.00,1.39
9874.00,1.39
9873.00,1.39
9872.00,1.39
9871.00,1.39
9870.00,1.39
9869.00,1.39
9868.00,1.39
9867.00,1.39
9866.00,1.39
9865.00,1.39
9864.00,1.39
9863.00,1.38
9862.00,1.38
9861.00,1.38
9860.00,1.38
9859.00,1.38
9858.00,1.38
9857.00,1.38
9856.00,1.38
9855.00,1.38
9854.00,1.38
9853.00,1.38
9852.00,1.38
9851.00,1.39
9850.00,1.39
9849.00,1.39
9848.00,1.39
9847.00,1.39
9846.00,1.40
9845.00,1.40
9844.00,1.40
9843.00,1.40
9842.00,1.40
9841.00,1.40
9840.00,1.40
9839.00,1.40
9838.00,1.40
9837.00,1.40
9836.00,1.40
9835.00,1.40
9834.00,1.40
9833.00,1.39
9832.00,1.39
9831.00,1.39
9830.00,1.39
9829.00,1.38
9828.00,1.38
9827.00,1.38
9826.00,1.38
9825.00,1.37
9824.00,1.37
9823.00,1.37
9822.00,1.37
9821.00,1.36
9820.00,1.36
9819.00,1.36
9818.00,1.36
9817.00,1.36
9816.00,1.36
9815.00,1.35
9814.00,1.35
9813.00,1.35
9812.00,1.35
9811.00,1.35
9810.00,1.36
9809.00,1.36
9808.00,1.36
9807.00,1.36
9806.00,1.36
9805.00,1.36
9804.00,1.36
9803.00,1.37
9802.00,1.37
9801.00,1.37
9800.00,1.37
9799.00,1.37
9798.00,1.37
9797.00,1.37
9796.00,1.37
9795.00,1.38
9794.00,1.38
9793.00,1.38
9792.00,1.38
9791.00,1.38
9790.00,1.38
9789.00,1.38
9788.00,1.39
9787.00,1.39
9786.00,1.39
9785.00,1.39
9784.00,1.39
9783.00,1.39
9782.00,1.39
9781.00,1.39
9780.00,1.39
9779.00,1.39
9778.00,1.39
9777.00,1.39
9776.00,1.39
9775.00,1.39
9774.00,1.39
9773.00,1.39
9772.00,1.38
9771.00,1.38
9770.00,1.38
9769.00,1.38
9768.00,1.38
9767.00,1.38
9766.00,1.38
9765.00,1.38
9764.00,1.38
9763.00,1.38
9762.00,1.38
9761.00,1.39
9760.00,1.39
9759.00,1.39
9758.00,1.39
