创建为新数据集,样品 240 用户 Administrator 日期 星期日, 七月 22 2018
cm-1,%T
10000.00,1.56
9999.00,1.56
9998.00,1.56
9997.00,1.55
9996.00,1.55
9995.00,1.55
9994.00,1.55
9993.00,1.55
9992.00,1.55
9991.00,1.55
9990.00,1.55
9989.00,1.55
9988.00,1.55
9987.00,1.55
9986.00,1.55
9985.00,1.55
9984.00,1.55
9983.00,1.54
9982.00,1.54
9981.00,1.54
9980.00,1.54
9979.00,1.54
9978.00,1.54
9977.00,1.54
9976.00,1.54
9975.00,1.54
9974.00,1.54
9973.00,1.53
9972.00,1.53
9971.00,1.53
9970.00,1.53
9969.00,1.53
9968.00,1.54
9967.00,1.54
9966.00,1.54
9965.00,1.54
9964.00,1.54
9963.00,1.54
9962.00,1.55
9961.00,1.55
9960.00,1.55
9959.00,1.55
9958.00,1.55
9957.00,1.55
9956.00,1.55
9955.00,1.56
9954.00,1.56
9953.00,1.56
9952.00,1.56
9951.00,1.55
9950.00,1.55
9949.00,1.55
9948.00,1.55
9947.00,1.55
9946.00,1.55
9945.00,1.55
9944.00,1.55
9943.00,1.55
9942.00,1.54
9941.00,1.54
9940.00,1.54
9939.00,1.54
9938.00,1.54
9937.00,1.54
9936.00,1.54
9935.00,1.54
9934.00,1.54
9933.00,1.54
9932.00,1.54
9931.00,1.54
9930.00,1.54
9929.00,1.54
9928.00,1.54
9927.00,1.54
9926.00,1.54
9925.00,1.54
9924.00,1.54
9923.00,1.54
9922.00,1.54
9921.00,1.54
9920.00,1.54
9919.00,1.54
9918.00,1.54
9917.00,1.54
9916.00,1.54
9915.00,1.54
9914.00,1.54
9913.00,1.53
9912.00,1.53
9911.00,1.53
9910.00,1.53
9909.00,1.53
9908.00,1.53
9907.00,1.53
9906.00,1.53
9905.00,1.52
9904.00,1.52
9903.00,1.52
9902.00,1.52
9901.00,1.52
9900.00,1.52
9899.00,1.51
9898.00,1.51
9897.00,1.51
9896.00,1.51
9895.00,1.51
9894.00,1.51
9893.00,1.51
9892.00,1.51
9891.00,1.51
9890.00,1.51
9889.00,1.51
9888.00,1.51
9887.00,1.51
9886.00,1.51
9885.00,1.51
9884.00,1.52
9883.00,1.52
9882.00,1.52
9881.00,1.52
9880.00,1.52
9879.00,1.52
9878.00,1.53
9877.00,1.53
9876.00,1.53
9875.00,1.53
9874.00,1.53
9873.00,1.53
9872.00,1.53
9871.00,1.53
9870.00,1.53
9869.00,1.53
9868.00,1.53
9867.00,1.53
9866.00,1.53
9865.00,1.53
9864.00,1.53
9863.00,1.52
9862.00,1.52
9861.00,1.52
9860.00,1.52
9859.00,1.52
9858.00,1.52
9857.00,1.51
9856.00,1.51
9855.00,1.51
9854.00,1.51
9853.00,1.51
9852.00,1.51
9851.00,1.50
9850.00,1.50
9849.00,1.50
9848.00,1.50
9847.00,1.50
9846.00,1.50
9845.00,1.50
9844.00,1.50
9843.00,1.50
9842.00,1.50
9841.00,1.50
9840.00,1.51
9839.00,1.51
9838.00,1.51
9837.00,1.51
9836.00,1.51
9835.00,1.51
9834.00,1.51
9833.00,1.52
9832.00,1.52
9831.00,1.52
9830.00,1.52
9829.00,1.52
9828.00,1.53
9827.00,1.53
9826.00,1.53
9825.00,1.53
9824.00,1.53
9823.00,1.54
9822.00,1.54
