创建为新数据集,样品 264 用户 Administrator 日期 星期日, 七月 22 2018
cm-1,%T
10000.00,1.11
9999.00,1.12
9998.00,1.12
9997.00,1.12
9996.00,1.13
9995.00,1.13
9994.00,1.13
9993.00,1.14
9992.00,1.14
9991.00,1.14
9990.00,1.14
9989.00,1.14
9988.00,1.14
9987.00,1.14
9986.00,1.14
9985.00,1.13
9984.00,1.13
9983.00,1.13
9982.00,1.13
9981.00,1.13
9980.00,1.13
9979.00,1.13
9978.00,1.13
9977.00,1.13
9976.00,1.13
9975.00,1.13
9974.00,1.13
9973.00,1.13
9972.00,1.13
9971.00,1.13
9970.00,1.13
9969.00,1.13
9968.00,1.14
9967.00,1.14
9966.00,1.14
9965.00,1.14
9964.00,1.14
9963.00,1.14
9962.00,1.14
9961.00,1.14
9960.00,1.14
9959.00,1.14
9958.00,1.14
9957.00,1.14
9956.00,1.14
9955.00,1.14
9954.00,1.14
9953.00,1.13
9952.00,1.13
9951.00,1.13
9950.00,1.13
9949.00,1.13
9948.00,1.12
9947.00,1.12
9946.00,1.12
9945.00,1.11
9944.00,1.11
9943.00,1.11
9942.00,1.11
9941.00,1.10
9940.00,1.10
9939.00,1.10
9938.00,1.10
9937.00,1.10
9936.00,1.10
9935.00,1.09
9934.00,1.09
9933.00,1.09
9932.00,1.09
9931.00,1.09
9930.00,1.09
9929.00,1.09
9928.00,1.09
9927.00,1.09
9926.00,1.09
9925.00,1.09
9924.00,1.10
9923.00,1.10
9922.00,1.10
9921.00,1.10
9920.00,1.10
9919.00,1.10
9918.00,1.11
9917.00,1.11
9916.00,1.11
9915.00,1.12
9914.00,1.12
9913.00,1.12
9912.00,1.12
9911.00,1.12
9910.00,1.12
9909.00,1.13
9908.00,1.13
9907.00,1.13
9906.00,1.13
9905.00,1.13
9904.00,1.12
9903.00,1.12
9902.00,1.12
9901.00,1.12
9900.00,1.12
9899.00,1.12
9898.00,1.12
9897.00,1.12
9896.00,1.11
9895.00,1.11
9894.00,1.11
9893.00,1.11
9892.00,1.11
9891.00,1.11
9890.00,1.11
9889.00,1.11
9888.00,1.11
9887.00,1.11
9886.00,1.11
9885.00,1.11
9884.00,1.11
9883.00,1.11
9882.00,1.11
9881.00,1.11
9880.00,1.11
9879.00,1.11
9878.00,1.10
9877.00,1.10
9876.00,1.10
9875.00,1.10
9874.00,1.09
9873.00,1.09
9872.00,1.09
9871.00,1.09
9870.00,1.09
9869.00,1.09
9868.00,1.08
9867.00,1.08
9866.00,1.08
9865.00,1.09
9864.00,1.09
9863.00,1.09
9862.00,1.09
9861.00,1.09
9860.00,1.09
9859.00,1.10
9858.00,1.10
9857.00,1.10
9856.00,1.10
9855.00,1.11
9854.00,1.11
9853.00,1.11
9852.00,1.11
9851.00,1.11
9850.00,1.12
9849.00,1.12
9848.00,1.12
9847.00,1.12
9846.00,1.12
9845.00,1.12
9844.00,1.12
9843.00,1.12
9842.00,1.12
9841.00,1.12
9840.00,1.12
9839.00,1.12
9838.00,1.12
9837.00,1.12
9836.00,1.12
9835.00,1.12
9834.00,1.12
9833.00,1.12
9832.00,1.12
9831.00,1.12
9830.00,1.12
9829.00,1.12
9828.00,1.12
9827.00,1.12
9826.00,1.12
9825.00,1.12
9824.00,1.13
9823.00,1.13
9822.00,1.13
9821.00,1.13
9820.00,1.13
9819.00,1.13
9818.00,1.13
9817.00,1.13
9816.00,1.13
9815.00,1.13
9814.00,1.12
9813.00,1.12
9812.00,1.12
9811.00,1.12
9810.00,1.12
9809.00,1.11
9808.00,1.11
9807.00,1.11
9806.00,1.11
9805.00,1.10
9804.00,1.10
9803.00,1.10
9802.00,1.09
9801.00,1.09
9800.00,1.09
9799.00,1.09
9798.00,1.09
9797.00,1.09
9796.00,1.09
9795.00,1.09
9794.00,1.09
9793.00,1.09
9792.00,1.09
9791.00,1.09
9790.00,1.10
9789.00,1.10
9788.00,1.10
9787.00,1.10
9786.00,1.11
9785.00,1.11
9784.00,1.11
9783.00,1.11
9782.00,1.11
9781.00,1.11
9780.00,1.11
9779.00,1.11
9778.00,1.11
9777.00,1.11
9776.00,1.11
9775.00,1.11
9774.00,1.11
9773.00,1.11
9772.00,1.11
9771.00,1.11
9770.00,1.11
9769.00,1.11
9768.00,1.11
9767.00,1.11
9766.00,1.12
9765.00,1.12
9764.00,1.12
9763.00,1.12
9762.00,1.12
9761.00,1.12
9760.00,1.12
9759.00,1.12
9758.00,1.12
9757.00,1.12
9756.00,1.12
9755.00,1.12
9754.00,1.12
9753.00,1.12
9752.00,1.12
9751.00,1.12
9750.00,1.12
9749.00,1.12
9748.00,1.12
9747.00,1.12
9746.00,1.12
9745.00,1.11
9744.00,1.11
9743.00,1.11
9742.00,1.11
9741.00,1.11
9740.00,1.11
9739.00,1.11
9738.00,1.11
9737.00,1.11
9736.00,1.11
9735.00,1.11
9734.00,1.11
9733.00,1.11
9732.00,1.11
9731.00,1.11
9730.00,1.11
9729.00,1.11
9728.00,1.11
9727.00,1.11
9726.00,1.11
9725.00,1.11
9724.00,1.11
9723.00,1.11
9722.00,1.11
9721.00,1.11
9720.00,1.11
9719.00,1.11
9718.00,1.11
9717.00,1.11
9716.00,1.11
9715.00,1.11
9714.00,1.11
9713.00,1.11
9712.00,1.12
9711.00,1.12
9710.00,1.12
9709.00,1.12
9708.00,1.12
9707.00,1.12
9706.00,1.12
9705.00,1.12
9704.00,1.12
9703.00,1.12
9702.00,1.12
9701.00,1.12
9700.00,1.12
9699.00,1.12
9698.00,1.12
9697.00,1.12
9696.00,1.11
9695.00,1.11
9694.00,1.11
9693.00,1.11
9692.00,1.11
9691.00,1.11
9690.00,1.11
9689.00,1.10
9688.00,1.10
9687.00,1.10
9686.00,1.10
9685.00,1.10
9684.00,1.10
9683.00,1.10
9682.00,1.10
9681.00,1.10
9680.00,1.10
9679.00,1.10
9678.00,1.10
9677.00,1.10
9676.00,1.10
9675.00,1.10
9674.00,1.10
9673.00,1.10
9672.00,1.11
9671.00,1.11
9670.00,1.11
9669.00,1.11
9668.00,1.11
9667.00,1.11
9666.00,1.11
9665.00,1.11
9664.00,1.11
9663.00,1.11
9662.00,1.11
9661.00,1.11
9660.00,1.11
9659.00,1.11
9658.00,1.11
9657.00,1.11
9656.00,1.10
9655.00,1.10
9654.00,1.10
9653.00,1.10
9652.00,1.10
9651.00,1.10
9650.00,1.09
9649.00,1.09
9648.00,1.09
9647.00,1.09
9646.00,1.09
9645.00,1.09
9644.00,1.09
9643.00,1.09
9642.00,1.09
9641.00,1.09
9640.00,1.09
9639.00,1.09
9638.00,1.09
9637.00,1.10
9636.00,1.10
9635.00,1.10
9634.00,1.10
9633.00,1.10
9632.00,1.10
9631.00,1.10
9630.00,1.11
9629.00,1.11
9628.00,1.11
9627.00,1.11
9626.00,1.11
9625.00,1.11
9624.00,1.11
9623.00,1.11
9622.00,1.11
9621.00,1.11
9620.00,1.12
9619.00,1.12
9618.00,1.12
9617.00,1.12
9616.00,1.12
9615.00,1.12
9614.00,1.12
9613.00,1.12
9612.00,1.12
9611.00,1.12
9610.00,1.12
9609.00,1.12
9608.00,1.12
9607.00,1.12
9606.00,1.12
9605.00,1.12
9604.00,1.12
9603.00,1.11
9602.00,1.11
9601.00,1.11
9600.00,1.11
9599.00,1.11
9598.00,1.11
9597.00,1.11
9596.00,1.11
9595.00,1.11
9594.00,1.11
9593.00,1.11
9592.00,1.11
9591.00,1.11
9590.00,1.11
9589.00,1.11
9588.00,1.11
9587.00,1.11
9586.00,1.11
9585.00,1.11
9584.00,1.11
9583.00,1.12
9582.00,1.12
9581.00,1.12
9580.00,1.12
9579.00,1.12
9578.00,1.12
9577.00,1.12
9576.00,1.12
9575.00,1.12
9574.00,1.12
9573.00,1.13
9572.00,1.13
9571.00,1.13
9570.00,1.13
9569.00,1.13
9568.00,1.12
9567.00,1.12
9566.00,1.12
9565.00,1.12
9564.00,1.12
9563.00,1.12
9562.00,1.12
9561.00,1.12
9560.00,1.12
9559.00,1.12
9558.00,1.12
9557.00,1.12
9556.00,1.12
9555.00,1.11
9554.00,1.11
9553.00,1.11
9552.00,1.11
9551.00,1.11
9550.00,1.11
9549.00,1.11
9548.00,1.11
9547.00,1.11
9546.00,1.11
9545.00,1.11
9544.00,1.11
9543.00,1.11
9542.00,1.11
9541.00,1.11
9540.00,1.12
9539.00,1.12
9538.00,1.12
9537.00,1.12
9536.00,1.12
9535.00,1.12
9534.00,1.12
9533.00,1.12
9532.00,1.12
9531.00,1.12
9530.00,1.12
9529.00,1.12
9528.00,1.12
9527.00,1.12
9526.00,1.11
9525.00,1.11
9524.00,1.11
9523.00,1.11
9522.00,1.11
9521.00,1.10
9520.00,1.10
9519.00,1.10
9518.00,1.10
9517.00,1.10
9516.00,1.10
9515.00,1.10
9514.00,1.10
9513.00,1.10
9512.00,1.10
9511.00,1.10
9510.00,1.10
9509.00,1.10
9508.00,1.10
9507.00,1.10
9506.00,1.10
9505.00,1.10
9504.00,1.10
9503.00,1.10
9502.00,1.10
9501.00,1.10
9500.00,1.10
9499.00,1.11
9498.00,1.11
9497.00,1.11
9496.00,1.11
9495.00,1.11
9494.00,1.11
9493.00,1.11
9492.00,1.11
9491.00,1.11
9490.00,1.11
9489.00,1.11
9488.00,1.11
9487.00,1.11
9486.00,1.11
9485.00,1.12
9484.00,1.12
9483.00,1.12
9482.00,1.12
9481.00,1.12
9480.00,1.12
9479.00,1.12
9478.00,1.12
9477.00,1.13
9476.00,1.13
9475.00,1.13
9474.00,1.13
9473.00,1.13
9472.00,1.13
9471.00,1.13
9470.00,1.14
9469.00,1.14
9468.00,1.14
9467.00,1.14
9466.00,1.14
9465.00,1.14
9464.00,1.14
9463.00,1.14
9462.00,1.14
9461.00,1.14
9460.00,1.13
9459.00,1.13
9458.00,1.13
9457.00,1.13
9456.00,1.13
9455.00,1.12
9454.00,1.12
9453.00,1.12
9452.00,1.12
9451.00,1.12
9450.00,1.11
9449.00,1.11
9448.00,1.11
9447.00,1.11
9446.00,1.11
9445.00,1.11
9444.00,1.11
9443.00,1.10
9442.00,1.10
9441.00,1.10
9440.00,1.10
9439.00,1.10
9438.00,1.10
9437.00,1.09
9436.00,1.09
9435.00,1.09
9434.00,1.09
9433.00,1.09
9432.00,1.09
9431.00,1.08
9430.00,1.08
9429.00,1.08
9428.00,1.08
9427.00,1.08
9426.00,1.08
9425.00,1.08
9424.00,1.08
9423.00,1.08
9422.00,1.09
9421.00,1.09
9420.00,1.09
9419.00,1.09
9418.00,1.09
9417.00,1.09
9416.00,1.09
9415.00,1.09
9414.00,1.09
9413.00,1.09
9412.00,1.09
9411.00,1.09
