创建为新数据集,样品 923 用户 Administrator 日期 星期一, 七月 29 2019
cm-1,%T
10000.00,1.45
9999.00,1.43
9998.00,1.42
9997.00,1.40
9996.00,1.38
9995.00,1.36
9994.00,1.35
9993.00,1.33
9992.00,1.31
9991.00,1.29
9990.00,1.27
9989.00,1.26
9988.00,1.24
9987.00,1.23
9986.00,1.21
9985.00,1.20
9984.00,1.19
9983.00,1.19
9982.00,1.18
9981.00,1.17
9980.00,1.17
9979.00,1.17
9978.00,1.16
9977.00,1.16
9976.00,1.16
9975.00,1.15
9974.00,1.15
9973.00,1.15
9972.00,1.15
9971.00,1.16
9970.00,1.16
9969.00,1.16
9968.00,1.17
9967.00,1.17
9966.00,1.18
9965.00,1.18
9964.00,1.19
9963.00,1.19
9962.00,1.19
9961.00,1.20
9960.00,1.20
9959.00,1.20
9958.00,1.20
9957.00,1.21
9956.00,1.21
9955.00,1.21
9954.00,1.21
9953.00,1.21
9952.00,1.21
9951.00,1.21
9950.00,1.21
9949.00,1.21
9948.00,1.20
9947.00,1.20
9946.00,1.20
9945.00,1.20
9944.00,1.19
9943.00,1.19
9942.00,1.19
9941.00,1.19
9940.00,1.19
9939.00,1.19
9938.00,1.19
9937.00,1.19
9936.00,1.19
9935.00,1.19
9934.00,1.19
9933.00,1.19
9932.00,1.19
9931.00,1.19
9930.00,1.19
9929.00,1.19
9928.00,1.19
9927.00,1.20
9926.00,1.20
9925.00,1.20
9924.00,1.20
9923.00,1.20
9922.00,1.21
9921.00,1.21
9920.00,1.21
9919.00,1.22
9918.00,1.22
9917.00,1.23
9916.00,1.23
9915.00,1.24
9914.00,1.24
9913.00,1.24
9912.00,1.25
9911.00,1.25
9910.00,1.26
9909.00,1.26
9908.00,1.27
9907.00,1.27
9906.00,1.28
9905.00,1.28
9904.00,1.29
9903.00,1.29
9902.00,1.29
9901.00,1.30
9900.00,1.30
9899.00,1.30
9898.00,1.30
9897.00,1.30
9896.00,1.30
9895.00,1.30
9894.00,1.30
9893.00,1.30
9892.00,1.30
9891.00,1.29
9890.00,1.29
9889.00,1.28
9888.00,1.28
9887.00,1.27
9886.00,1.27
9885.00,1.26
9884.00,1.26
9883.00,1.25
9882.00,1.25
9881.00,1.24
9880.00,1.24
9879.00,1.23
9878.00,1.23
9877.00,1.23
9876.00,1.22
9875.00,1.22
9874.00,1.21
9873.00,1.21
9872.00,1.20
9871.00,1.20
9870.00,1.19
9869.00,1.19
9868.00,1.18
9867.00,1.18
9866.00,1.17
9865.00,1.17
9864.00,1.16
9863.00,1.16
9862.00,1.16
9861.00,1.15
9860.00,1.15
9859.00,1.14
9858.00,1.14
9857.00,1.14
9856.00,1.13
9855.00,1.13
9854.00,1.13
