创建为新数据集,样品 700 用户 Administrator 日期 星期四, 七月 25 2019
cm-1,%T
10000.00,1.60
9999.00,1.63
9998.00,1.65
9997.00,1.68
9996.00,1.70
9995.00,1.73
9994.00,1.75
9993.00,1.77
9992.00,1.78
9991.00,1.79
9990.00,1.80
9989.00,1.81
9988.00,1.81
9987.00,1.81
9986.00,1.81
9985.00,1.80
9984.00,1.80
9983.00,1.79
9982.00,1.78
9981.00,1.76
9980.00,1.75
9979.00,1.74
9978.00,1.73
9977.00,1.71
9976.00,1.70
9975.00,1.69
9974.00,1.69
9973.00,1.68
9972.00,1.68
9971.00,1.68
9970.00,1.68
9969.00,1.68
9968.00,1.69
9967.00,1.69
9966.00,1.70
9965.00,1.70
9964.00,1.71
9963.00,1.71
9962.00,1.71
9961.00,1.72
9960.00,1.72
9959.00,1.72
9958.00,1.72
9957.00,1.72
9956.00,1.72
9955.00,1.72
9954.00,1.72
9953.00,1.71
9952.00,1.71
9951.00,1.71
9950.00,1.71
9949.00,1.71
9948.00,1.72
9947.00,1.72
9946.00,1.73
9945.00,1.74
9944.00,1.75
9943.00,1.75
9942.00,1.76
9941.00,1.77
9940.00,1.78
9939.00,1.79
9938.00,1.79
9937.00,1.80
9936.00,1.80
9935.00,1.80
9934.00,1.80
9933.00,1.80
9932.00,1.80
9931.00,1.79
9930.00,1.78
9929.00,1.77
9928.00,1.76
9927.00,1.75
9926.00,1.74
9925.00,1.73
9924.00,1.72
9923.00,1.70
9922.00,1.69
9921.00,1.68
9920.00,1.67
9919.00,1.66
9918.00,1.65
9917.00,1.64
9916.00,1.63
9915.00,1.62
9914.00,1.61
9913.00,1.60
9912.00,1.59
9911.00,1.58
9910.00,1.58
9909.00,1.57
9908.00,1.57
9907.00,1.57
9906.00,1.57
9905.00,1.57
9904.00,1.57
9903.00,1.58
9902.00,1.59
9901.00,1.59
9900.00,1.60
9899.00,1.61
9898.00,1.62
9897.00,1.64
9896.00,1.65
9895.00,1.66
9894.00,1.67
9893.00,1.67
9892.00,1.68
9891.00,1.68
9890.00,1.68
9889.00,1.68
9888.00,1.68
9887.00,1.68
9886.00,1.67
9885.00,1.66
9884.00,1.66
9883.00,1.65
9882.00,1.63
9881.00,1.62
9880.00,1.61
9879.00,1.60
9878.00,1.59
9877.00,1.58
9876.00,1.57
9875.00,1.56
9874.00,1.55
9873.00,1.55
9872.00,1.54
9871.00,1.54
9870.00,1.54
9869.00,1.54
9868.00,1.54
9867.00,1.54
9866.00,1.54
9865.00,1.55
9864.00,1.56
9863.00,1.56
9862.00,1.57
9861.00,1.58
9860.00,1.59
9859.00,1.60
9858.00,1.60
9857.00,1.61
9856.00,1.62
9855.00,1.62
9854.00,1.62
9853.00,1.62
9852.00,1.62
9851.00,1.62
9850.00,1.62
9849.00,1.61
9848.00,1.61
9847.00,1.60
9846.00,1.59
9845.00,1.58
9844.00,1.57
9843.00,1.56
9842.00,1.56
9841.00,1.55
9840.00,1.54
9839.00,1.53
9838.00,1.52
9837.00,1.52
9836.00,1.52
9835.00,1.51
9834.00,1.51
9833.00,1.51
9832.00,1.52
9831.00,1.52
9830.00,1.52
9829.00,1.53
9828.00,1.53
9827.00,1.53
9826.00,1.53
9825.00,1.54
9824.00,1.54
9823.00,1.54
9822.00,1.55
9821.00,1.55
9820.00,1.55
9819.00,1.56
9818.00,1.56
9817.00,1.56
9816.00,1.57
9815.00,1.57
9814.00,1.58
9813.00,1.58
9812.00,1.59
9811.00,1.59
9810.00,1.60
9809.00,1.61
9808.00,1.61
9807.00,1.62
9806.00,1.63
9805.00,1.63
9804.00,1.64
9803.00,1.64
9802.00,1.64
9801.00,1.64
9800.00,1.64
9799.00,1.64
9798.00,1.64
9797.00,1.64
9796.00,1.64
9795.00,1.63
9794.00,1.63
9793.00,1.62
9792.00,1.62
9791.00,1.61
9790.00,1.61
9789.00,1.61
9788.00,1.60
9787.00,1.60
9786.00,1.60
9785.00,1.60
9784.00,1.60
9783.00,1.61
9782.00,1.61
9781.00,1.61
9780.00,1.61
9779.00,1.61
9778.00,1.61
9777.00,1.61
9776.00,1.61
9775.00,1.61
9774.00,1.61
9773.00,1.61
9772.00,1.61
9771.00,1.60
9770.00,1.60
9769.00,1.59
9768.00,1.58
9767.00,1.58
9766.00,1.57
9765.00,1.56
9764.00,1.55
9763.00,1.55
9762.00,1.54
9761.00,1.54
9760.00,1.53
9759.00,1.53
9758.00,1.53
9757.00,1.53
9756.00,1.53
9755.00,1.53
9754.00,1.54
9753.00,1.54
9752.00,1.54
9751.00,1.55
9750.00,1.56
9749.00,1.56
9748.00,1.57
9747.00,1.58
9746.00,1.59
9745.00,1.59
9744.00,1.60
9743.00,1.61
9742.00,1.61
9741.00,1.62
9740.00,1.62
9739.00,1.62
9738.00,1.63
9737.00,1.63
9736.00,1.63
