创建为新数据集,样品 738 用户 Administrator 日期 星期四, 七月 25 2019
cm-1,%T
10000.00,1.50
9999.00,1.52
9998.00,1.53
9997.00,1.55
9996.00,1.56
9995.00,1.57
9994.00,1.59
9993.00,1.60
9992.00,1.60
9991.00,1.61
9990.00,1.62
9989.00,1.62
9988.00,1.63
9987.00,1.63
9986.00,1.63
9985.00,1.64
9984.00,1.64
9983.00,1.64
9982.00,1.64
9981.00,1.64
9980.00,1.64
9979.00,1.63
9978.00,1.63
9977.00,1.63
9976.00,1.63
9975.00,1.63
9974.00,1.63
9973.00,1.62
9972.00,1.62
9971.00,1.62
9970.00,1.61
9969.00,1.61
9968.00,1.60
9967.00,1.60
9966.00,1.59
9965.00,1.59
9964.00,1.58
9963.00,1.57
9962.00,1.57
9961.00,1.56
9960.00,1.56
9959.00,1.56
9958.00,1.55
9957.00,1.55
9956.00,1.55
9955.00,1.55
9954.00,1.54
9953.00,1.54
9952.00,1.54
9951.00,1.54
9950.00,1.54
9949.00,1.54
9948.00,1.54
9947.00,1.53
9946.00,1.53
9945.00,1.53
9944.00,1.52
9943.00,1.52
9942.00,1.51
9941.00,1.50
9940.00,1.49
9939.00,1.48
9938.00,1.47
9937.00,1.46
9936.00,1.45
9935.00,1.44
9934.00,1.43
9933.00,1.41
9932.00,1.40
9931.00,1.39
9930.00,1.38
9929.00,1.37
9928.00,1.36
9927.00,1.35
9926.00,1.34
9925.00,1.33
9924.00,1.32
9923.00,1.32
9922.00,1.31
9921.00,1.30
9920.00,1.30
9919.00,1.29
9918.00,1.28
9917.00,1.28
9916.00,1.27
9915.00,1.27
9914.00,1.26
9913.00,1.26
9912.00,1.26
9911.00,1.26
9910.00,1.26
9909.00,1.27
9908.00,1.27
9907.00,1.27
9906.00,1.28
9905.00,1.28
9904.00,1.29
9903.00,1.29
9902.00,1.29
9901.00,1.30
9900.00,1.30
9899.00,1.30
9898.00,1.30
9897.00,1.30
9896.00,1.30
9895.00,1.29
9894.00,1.29
9893.00,1.28
9892.00,1.28
9891.00,1.27
9890.00,1.27
9889.00,1.26
9888.00,1.26
9887.00,1.26
9886.00,1.26
9885.00,1.26
9884.00,1.27
9883.00,1.27
9882.00,1.28
9881.00,1.29
9880.00,1.30
9879.00,1.31
9878.00,1.32
9877.00,1.33
9876.00,1.34
9875.00,1.35
9874.00,1.36
9873.00,1.37
9872.00,1.38
9871.00,1.39
9870.00,1.40
9869.00,1.41
9868.00,1.42
9867.00,1.43
9866.00,1.44
9865.00,1.45
9864.00,1.45
9863.00,1.46
9862.00,1.47
9861.00,1.48
9860.00,1.48
9859.00,1.49
9858.00,1.50
9857.00,1.50
9856.00,1.51
9855.00,1.51
9854.00,1.52
9853.00,1.52
9852.00,1.52
9851.00,1.52
9850.00,1.52
9849.00,1.52
9848.00,1.52
9847.00,1.51
9846.00,1.51
9845.00,1.50
9844.00,1.49
9843.00,1.49
9842.00,1.48
9841.00,1.48
9840.00,1.47
9839.00,1.46
9838.00,1.46
9837.00,1.45
9836.00,1.45
9835.00,1.44
9834.00,1.44
9833.00,1.43
9832.00,1.43
9831.00,1.42
9830.00,1.42
9829.00,1.42
9828.00,1.42
9827.00,1.42
9826.00,1.42
9825.00,1.42
9824.00,1.42
9823.00,1.42
9822.00,1.42
9821.00,1.42
9820.00,1.42
9819.00,1.41
9818.00,1.41
9817.00,1.40
9816.00,1.40
9815.00,1.39
9814.00,1.39
9813.00,1.38
9812.00,1.38
9811.00,1.37
9810.00,1.36
9809.00,1.35
9808.00,1.34
9807.00,1.34
9806.00,1.33
9805.00,1.32
9804.00,1.32
9803.00,1.32
9802.00,1.32
9801.00,1.32
9800.00,1.32
9799.00,1.33
9798.00,1.33
9797.00,1.34
9796.00,1.34
9795.00,1.35
9794.00,1.35
9793.00,1.35
9792.00,1.36
9791.00,1.36
9790.00,1.36
9789.00,1.36
9788.00,1.35
9787.00,1.35
9786.00,1.34
9785.00,1.33
9784.00,1.32
9783.00,1.31
9782.00,1.30
9781.00,1.29
9780.00,1.28
9779.00,1.27
9778.00,1.27
9777.00,1.26
9776.00,1.25
9775.00,1.25
9774.00,1.25
9773.00,1.24
9772.00,1.24
9771.00,1.24
9770.00,1.25
9769.00,1.25
9768.00,1.25
9767.00,1.26
9766.00,1.26
9765.00,1.27
9764.00,1.27
9763.00,1.27
9762.00,1.27
9761.00,1.27
9760.00,1.27
9759.00,1.26
9758.00,1.26
9757.00,1.26
9756.00,1.25
9755.00,1.25
9754.00,1.25
9753.00,1.25
9752.00,1.25
9751.00,1.25
9750.00,1.25
9749.00,1.25
9748.00,1.25
9747.00,1.25
9746.00,1.26
9745.00,1.26
9744.00,1.26
9743.00,1.27
9742.00,1.28
9741.00,1.29
9740.00,1.30
9739.00,1.31
9738.00,1.32
9737.00,1.33
9736.00,1.34
9735.00,1.35
9734.00,1.36
9733.00,1.37
9732.00,1.39
9731.00,1.40
9730.00,1.41
9729.00,1.42
9728.00,1.44
9727.00,1.45
9726.00,1.46
9725.00,1.48
9724.00,1.49
9723.00,1.50
9722.00,1.52
9721.00,1.53
9720.00,1.54
9719.00,1.55
9718.00,1.56
9717.00,1.57
9716.00,1.58
9715.00,1.59
9714.00,1.60
9713.00,1.60
9712.00,1.61
9711.00,1.61
9710.00,1.61
9709.00,1.61
9708.00,1.61
9707.00,1.61
9706.00,1.60
9705.00,1.60
9704.00,1.59
9703.00,1.59
9702.00,1.58
9701.00,1.58
9700.00,1.58
9699.00,1.57
9698.00,1.57
9697.00,1.57
9696.00,1.57
9695.00,1.57
9694.00,1.57
9693.00,1.57
9692.00,1.57
9691.00,1.57
9690.00,1.57
9689.00,1.57
9688.00,1.57
9687.00,1.57
9686.00,1.56
9685.00,1.56
9684.00,1.55
9683.00,1.54
9682.00,1.53
9681.00,1.52
9680.00,1.51
9679.00,1.50
9678.00,1.49
9677.00,1.48
9676.00,1.47
9675.00,1.46
9674.00,1.44
9673.00,1.43
9672.00,1.42
9671.00,1.42
9670.00,1.41
9669.00,1.41
9668.00,1.41
9667.00,1.41
9666.00,1.41
9665.00,1.42
9664.00,1.42
9663.00,1.43
9662.00,1.44
9661.00,1.45
9660.00,1.46
9659.00,1.47
9658.00,1.49
9657.00,1.50
9656.00,1.51
9655.00,1.52
9654.00,1.53
9653.00,1.53
9652.00,1.54
9651.00,1.54
9650.00,1.54
9649.00,1.53
9648.00,1.52
9647.00,1.51
9646.00,1.50
9645.00,1.48
9644.00,1.47
9643.00,1.45
9642.00,1.43
9641.00,1.41
9640.00,1.39
9639.00,1.37
9638.00,1.35
9637.00,1.34
9636.00,1.32
9635.00,1.31
9634.00,1.30
9633.00,1.29
