创建为新数据集,样品 805 用户 Administrator 日期 星期一, 七月 29 2019
cm-1,%T
10000.00,1.60
9999.00,1.58
9998.00,1.56
9997.00,1.54
9996.00,1.53
9995.00,1.51
9994.00,1.49
9993.00,1.48
9992.00,1.47
9991.00,1.46
9990.00,1.44
9989.00,1.43
9988.00,1.42
9987.00,1.41
9986.00,1.40
9985.00,1.39
9984.00,1.39
9983.00,1.38
9982.00,1.37
9981.00,1.36
9980.00,1.36
9979.00,1.35
9978.00,1.35
9977.00,1.35
9976.00,1.34
9975.00,1.34
9974.00,1.35
9973.00,1.35
9972.00,1.35
9971.00,1.35
9970.00,1.35
9969.00,1.35
9968.00,1.34
9967.00,1.34
9966.00,1.34
9965.00,1.33
9964.00,1.33
9963.00,1.32
9962.00,1.32
9961.00,1.31
9960.00,1.31
9959.00,1.30
9958.00,1.30
9957.00,1.29
9956.00,1.29
9955.00,1.29
9954.00,1.28
9953.00,1.28
9952.00,1.27
9951.00,1.27
9950.00,1.26
9949.00,1.26
9948.00,1.25
9947.00,1.25
9946.00,1.24
9945.00,1.23
9944.00,1.23
9943.00,1.23
9942.00,1.22
9941.00,1.22
9940.00,1.22
9939.00,1.22
9938.00,1.22
9937.00,1.22
9936.00,1.22
9935.00,1.22
9934.00,1.22
9933.00,1.21
9932.00,1.21
9931.00,1.21
9930.00,1.21
9929.00,1.21
9928.00,1.21
9927.00,1.21
9926.00,1.21
9925.00,1.21
9924.00,1.21
9923.00,1.21
9922.00,1.21
9921.00,1.20
9920.00,1.20
9919.00,1.20
9918.00,1.20
9917.00,1.20
9916.00,1.19
9915.00,1.19
9914.00,1.19
9913.00,1.18
9912.00,1.18
9911.00,1.17
9910.00,1.17
9909.00,1.17
9908.00,1.17
9907.00,1.17
9906.00,1.17
9905.00,1.17
9904.00,1.17
9903.00,1.17
9902.00,1.17
9901.00,1.17
9900.00,1.17
9899.00,1.17
9898.00,1.17
9897.00,1.17
9896.00,1.17
9895.00,1.17
9894.00,1.17
9893.00,1.17
9892.00,1.18
9891.00,1.18
9890.00,1.19
9889.00,1.19
9888.00,1.20
9887.00,1.20
9886.00,1.21
9885.00,1.22
9884.00,1.22
9883.00,1.23
9882.00,1.24
9881.00,1.25
9880.00,1.25
9879.00,1.26
9878.00,1.26
9877.00,1.27
9876.00,1.28
9875.00,1.28
9874.00,1.29
9873.00,1.30
9872.00,1.30
9871.00,1.31
9870.00,1.32
9869.00,1.33
9868.00,1.34
9867.00,1.34
9866.00,1.35
9865.00,1.36
9864.00,1.37
9863.00,1.37
9862.00,1.38
9861.00,1.39
9860.00,1.39
9859.00,1.40
9858.00,1.40
9857.00,1.41
9856.00,1.41
9855.00,1.42
9854.00,1.42
9853.00,1.42
9852.00,1.43
9851.00,1.43
9850.00,1.43
9849.00,1.43
9848.00,1.44
9847.00,1.44
9846.00,1.44
9845.00,1.44
9844.00,1.44
9843.00,1.44
9842.00,1.44
9841.00,1.44
9840.00,1.44
9839.00,1.44
9838.00,1.44
9837.00,1.44
9836.00,1.44
9835.00,1.45
9834.00,1.45
9833.00,1.45
9832.00,1.45
9831.00,1.46
9830.00,1.46
9829.00,1.46
9828.00,1.46
9827.00,1.46
9826.00,1.46
9825.00,1.46
9824.00,1.46
9823.00,1.46
9822.00,1.46
9821.00,1.47
9820.00,1.47
9819.00,1.47
9818.00,1.47
9817.00,1.47
9816.00,1.47
9815.00,1.48
9814.00,1.48
9813.00,1.48
9812.00,1.47
9811.00,1.47
9810.00,1.47
9809.00,1.46
9808.00,1.46
9807.00,1.45
9806.00,1.45
9805.00,1.44
9804.00,1.43
9803.00,1.43
9802.00,1.42
9801.00,1.42
9800.00,1.41
9799.00,1.41
9798.00,1.40
9797.00,1.40
9796.00,1.40
9795.00,1.40
9794.00,1.40
9793.00,1.40
9792.00,1.39
9791.00,1.39
9790.00,1.39
9789.00,1.39
9788.00,1.39
9787.00,1.39
9786.00,1.38
9785.00,1.38
9784.00,1.38
9783.00,1.38
9782.00,1.38
9781.00,1.38
9780.00,1.39
9779.00,1.39
9778.00,1.39
9777.00,1.40
9776.00,1.40
9775.00,1.40
9774.00,1.40
9773.00,1.41
9772.00,1.41
9771.00,1.41
9770.00,1.41
9769.00,1.41
9768.00,1.40
9767.00,1.40
9766.00,1.40
9765.00,1.40
9764.00,1.39
9763.00,1.39
9762.00,1.39
9761.00,1.38
9760.00,1.38
9759.00,1.38
9758.00,1.37
9757.00,1.37
9756.00,1.37
9755.00,1.36
9754.00,1.36
9753.00,1.36
9752.00,1.35
9751.00,1.35
9750.00,1.35
9749.00,1.34
9748.00,1.34
9747.00,1.34
9746.00,1.34
9745.00,1.34
9744.00,1.34
9743.00,1.33
9742.00,1.33
9741.00,1.33
9740.00,1.33
9739.00,1.33
9738.00,1.33
9737.00,1.33
9736.00,1.33
9735.00,1.33
9734.00,1.33
9733.00,1.33
9732.00,1.33
9731.00,1.33
9730.00,1.33
9729.00,1.33
9728.00,1.33
9727.00,1.33
9726.00,1.33
9725.00,1.32
9724.00,1.32
9723.00,1.32
9722.00,1.32
9721.00,1.32
9720.00,1.31
9719.00,1.31
9718.00,1.31
9717.00,1.31
9716.00,1.30
9715.00,1.30
9714.00,1.30
9713.00,1.30
9712.00,1.31
9711.00,1.31
9710.00,1.31
9709.00,1.32
9708.00,1.32
9707.00,1.32
9706.00,1.33
9705.00,1.33
9704.00,1.34
9703.00,1.34
9702.00,1.35
9701.00,1.35
9700.00,1.35
9699.00,1.36
9698.00,1.36
9697.00,1.36
9696.00,1.37
9695.00,1.37
9694.00,1.37
9693.00,1.37
9692.00,1.38
9691.00,1.38
9690.00,1.38
9689.00,1.38
9688.00,1.39
9687.00,1.39
9686.00,1.39
9685.00,1.39
9684.00,1.38
9683.00,1.38
9682.00,1.38
9681.00,1.38
9680.00,1.37
9679.00,1.37
9678.00,1.36
9677.00,1.36
9676.00,1.36
9675.00,1.35
9674.00,1.35
9673.00,1.35
9672.00,1.35
9671.00,1.35
9670.00,1.34
9669.00,1.34
9668.00,1.34
9667.00,1.34
9666.00,1.34
9665.00,1.34
9664.00,1.34
9663.00,1.34
9662.00,1.34
9661.00,1.34
9660.00,1.34
9659.00,1.34
9658.00,1.34
9657.00,1.34
9656.00,1.34
9655.00,1.34
9654.00,1.34
9653.00,1.34
9652.00,1.33
9651.00,1.33
9650.00,1.33
9649.00,1.33
9648.00,1.32
9647.00,1.32
9646.00,1.32
9645.00,1.31
9644.00,1.31
9643.00,1.31
9642.00,1.30
9641.00,1.30
9640.00,1.29
9639.00,1.29
9638.00,1.29
9637.00,1.28
9636.00,1.28
9635.00,1.27
9634.00,1.27
9633.00,1.26
9632.00,1.26
9631.00,1.26
9630.00,1.26
9629.00,1.26
9628.00,1.26
9627.00,1.26
9626.00,1.26
9625.00,1.26
9624.00,1.26
9623.00,1.27
9622.00,1.27
9621.00,1.27
9620.00,1.27
9619.00,1.28
9618.00,1.28
9617.00,1.28
9616.00,1.29
9615.00,1.29
9614.00,1.30
9613.00,1.30
9612.00,1.31
9611.00,1.31
9610.00,1.32
9609.00,1.32
9608.00,1.32
9607.00,1.33
9606.00,1.33
9605.00,1.33
9604.00,1.33
9603.00,1.33
9602.00,1.33
9601.00,1.33
9600.00,1.33
9599.00,1.33
9598.00,1.33
9597.00,1.32
9596.00,1.32
9595.00,1.32
9594.00,1.32
9593.00,1.32
9592.00,1.32
9591.00,1.32
9590.00,1.32
9589.00,1.32
9588.00,1.32
9587.00,1.32
9586.00,1.31
9585.00,1.31
9584.00,1.31
9583.00,1.31
9582.00,1.31
9581.00,1.31
9580.00,1.32
9579.00,1.32
