创建为新数据集,样品 217 用户 Administrator 日期 星期六, 七月 27 2019
cm-1,%T
10000.00,1.73
9999.00,1.72
9998.00,1.72
9997.00,1.72
9996.00,1.71
9995.00,1.71
9994.00,1.70
9993.00,1.70
9992.00,1.70
9991.00,1.69
9990.00,1.69
9989.00,1.69
9988.00,1.68
9987.00,1.68
9986.00,1.67
9985.00,1.67
9984.00,1.66
9983.00,1.65
9982.00,1.65
9981.00,1.64
9980.00,1.64
9979.00,1.63
9978.00,1.63
9977.00,1.63
9976.00,1.62
9975.00,1.62
9974.00,1.62
9973.00,1.62
9972.00,1.61
9971.00,1.61
9970.00,1.61
9969.00,1.60
9968.00,1.60
9967.00,1.59
9966.00,1.59
9965.00,1.58
9964.00,1.58
9963.00,1.58
9962.00,1.57
9961.00,1.57
9960.00,1.58
9959.00,1.58
9958.00,1.58
9957.00,1.59
9956.00,1.60
9955.00,1.60
9954.00,1.61
9953.00,1.62
9952.00,1.63
9951.00,1.63
9950.00,1.64
9949.00,1.64
9948.00,1.65
9947.00,1.65
9946.00,1.65
9945.00,1.66
9944.00,1.66
9943.00,1.66
9942.00,1.67
9941.00,1.67
9940.00,1.67
9939.00,1.68
9938.00,1.68
9937.00,1.68
9936.00,1.69
9935.00,1.69
9934.00,1.69
9933.00,1.68
9932.00,1.68
9931.00,1.68
9930.00,1.67
9929.00,1.66
9928.00,1.65
9927.00,1.64
9926.00,1.64
9925.00,1.63
9924.00,1.62
9923.00,1.62
9922.00,1.61
9921.00,1.61
9920.00,1.61
9919.00,1.61
9918.00,1.61
9917.00,1.61
9916.00,1.61
9915.00,1.61
9914.00,1.61
9913.00,1.61
9912.00,1.61
9911.00,1.61
9910.00,1.61
9909.00,1.61
9908.00,1.60
9907.00,1.60
9906.00,1.60
9905.00,1.60
9904.00,1.60
9903.00,1.60
9902.00,1.60
9901.00,1.61
9900.00,1.61
9899.00,1.60
9898.00,1.60
9897.00,1.60
9896.00,1.60
9895.00,1.59
9894.00,1.59
9893.00,1.59
9892.00,1.58
9891.00,1.57
9890.00,1.57
9889.00,1.56
9888.00,1.56
9887.00,1.55
9886.00,1.55
9885.00,1.55
9884.00,1.55
9883.00,1.55
9882.00,1.55
9881.00,1.55
9880.00,1.55
9879.00,1.55
9878.00,1.56
9877.00,1.56
9876.00,1.56
9875.00,1.57
9874.00,1.57
9873.00,1.57
9872.00,1.58
9871.00,1.58
9870.00,1.58
9869.00,1.58
9868.00,1.59
9867.00,1.59
9866.00,1.59
9865.00,1.59
9864.00,1.59
9863.00,1.59
9862.00,1.59
9861.00,1.59
9860.00,1.59
9859.00,1.58
9858.00,1.58
9857.00,1.58
9856.00,1.57
9855.00,1.57
9854.00,1.56
9853.00,1.55
9852.00,1.55
9851.00,1.54
9850.00,1.53
9849.00,1.53
9848.00,1.52
9847.00,1.52
9846.00,1.52
9845.00,1.52
9844.00,1.52
9843.00,1.52
9842.00,1.52
9841.00,1.53
9840.00,1.53
9839.00,1.53
9838.00,1.54
9837.00,1.54
9836.00,1.55
9835.00,1.55
9834.00,1.56
9833.00,1.56
9832.00,1.57
9831.00,1.58
9830.00,1.59
9829.00,1.59
9828.00,1.60
9827.00,1.61
9826.00,1.62
9825.00,1.62
9824.00,1.63
9823.00,1.63
9822.00,1.64
9821.00,1.64
9820.00,1.65
9819.00,1.65
9818.00,1.65
9817.00,1.65
9816.00,1.66
9815.00,1.66
9814.00,1.66
9813.00,1.67
9812.00,1.67
9811.00,1.67
9810.00,1.68
9809.00,1.68
9808.00,1.68
9807.00,1.68
9806.00,1.69
9805.00,1.69
9804.00,1.69
9803.00,1.69
9802.00,1.69
9801.00,1.70
9800.00,1.70
9799.00,1.70
9798.00,1.70
9797.00,1.70
9796.00,1.70
9795.00,1.71
9794.00,1.71
9793.00,1.70
9792.00,1.70
9791.00,1.70
9790.00,1.70
9789.00,1.69
9788.00,1.68
9787.00,1.68
9786.00,1.67
9785.00,1.66
9784.00,1.65
9783.00,1.64
9782.00,1.63
9781.00,1.62
9780.00,1.61
9779.00,1.60
9778.00,1.59
9777.00,1.58
9776.00,1.57
9775.00,1.56
9774.00,1.55
9773.00,1.55
9772.00,1.54
9771.00,1.53
9770.00,1.52
