创建为新数据集,样品 408 用户 Administrator 日期 星期日, 七月 28 2019
cm-1,%T
10000.00,2.63
9999.00,2.62
9998.00,2.62
9997.00,2.61
9996.00,2.60
9995.00,2.59
9994.00,2.58
9993.00,2.57
9992.00,2.56
9991.00,2.54
9990.00,2.53
9989.00,2.52
9988.00,2.51
9987.00,2.50
9986.00,2.48
9985.00,2.47
9984.00,2.46
9983.00,2.45
9982.00,2.44
9981.00,2.43
9980.00,2.43
9979.00,2.42
9978.00,2.41
9977.00,2.40
9976.00,2.39
9975.00,2.39
9974.00,2.38
9973.00,2.38
9972.00,2.37
9971.00,2.37
9970.00,2.36
9969.00,2.36
9968.00,2.36
9967.00,2.36
9966.00,2.36
9965.00,2.36
9964.00,2.36
9963.00,2.36
9962.00,2.36
9961.00,2.36
9960.00,2.36
9959.00,2.36
9958.00,2.36
9957.00,2.36
9956.00,2.36
9955.00,2.36
9954.00,2.36
9953.00,2.35
9952.00,2.35
9951.00,2.35
9950.00,2.34
9949.00,2.34
9948.00,2.33
9947.00,2.33
9946.00,2.32
9945.00,2.32
9944.00,2.32
9943.00,2.32
9942.00,2.32
9941.00,2.32
9940.00,2.31
9939.00,2.31
9938.00,2.31
9937.00,2.31
9936.00,2.31
9935.00,2.31
9934.00,2.31
9933.00,2.31
9932.00,2.31
9931.00,2.30
9930.00,2.30
9929.00,2.30
9928.00,2.30
9927.00,2.29
9926.00,2.29
9925.00,2.29
9924.00,2.28
9923.00,2.28
9922.00,2.28
9921.00,2.27
9920.00,2.27
9919.00,2.26
9918.00,2.26
9917.00,2.25
9916.00,2.24
9915.00,2.23
9914.00,2.22
9913.00,2.21
9912.00,2.20
9911.00,2.19
9910.00,2.18
9909.00,2.17
9908.00,2.16
9907.00,2.16
9906.00,2.15
9905.00,2.15
9904.00,2.15
9903.00,2.14
9902.00,2.14
9901.00,2.14
9900.00,2.14
9899.00,2.14
9898.00,2.15
9897.00,2.15
9896.00,2.16
9895.00,2.17
9894.00,2.17
9893.00,2.18
9892.00,2.19
9891.00,2.20
9890.00,2.21
9889.00,2.23
9888.00,2.24
9887.00,2.25
9886.00,2.26
9885.00,2.27
9884.00,2.28
9883.00,2.29
9882.00,2.30
9881.00,2.31
9880.00,2.32
9879.00,2.32
9878.00,2.33
9877.00,2.33
9876.00,2.34
9875.00,2.34
9874.00,2.34
9873.00,2.34
9872.00,2.34
9871.00,2.34
9870.00,2.34
9869.00,2.33
9868.00,2.32
9867.00,2.32
9866.00,2.31
9865.00,2.30
9864.00,2.29
9863.00,2.29
9862.00,2.28
9861.00,2.27
9860.00,2.26
9859.00,2.26
9858.00,2.25
9857.00,2.24
9856.00,2.23
9855.00,2.23
9854.00,2.22
