创建为新数据集,样品 028 用户 Administrator 日期 星期五, 七月 26 2019
cm-1,%T
10000.00,0.92
9999.00,0.90
9998.00,0.87
9997.00,0.85
9996.00,0.83
9995.00,0.81
9994.00,0.79
9993.00,0.77
9992.00,0.75
9991.00,0.73
9990.00,0.72
9989.00,0.71
9988.00,0.70
9987.00,0.70
9986.00,0.69
9985.00,0.69
9984.00,0.69
9983.00,0.69
9982.00,0.70
9981.00,0.70
9980.00,0.71
9979.00,0.72
9978.00,0.72
9977.00,0.73
9976.00,0.74
9975.00,0.75
9974.00,0.75
9973.00,0.76
9972.00,0.77
9971.00,0.78
9970.00,0.79
9969.00,0.80
9968.00,0.81
9967.00,0.82
9966.00,0.83
9965.00,0.83
9964.00,0.83
9963.00,0.83
9962.00,0.83
9961.00,0.83
9960.00,0.82
9959.00,0.81
9958.00,0.80
9957.00,0.78
9956.00,0.77
9955.00,0.75
9954.00,0.74
9953.00,0.72
9952.00,0.71
9951.00,0.69
9950.00,0.68
9949.00,0.67
9948.00,0.65
9947.00,0.64
9946.00,0.63
9945.00,0.62
9944.00,0.61
9943.00,0.60
9942.00,0.59
9941.00,0.58
9940.00,0.58
9939.00,0.57
9938.00,0.57
9937.00,0.56
9936.00,0.56
9935.00,0.56
9934.00,0.56
9933.00,0.56
9932.00,0.57
9931.00,0.57
9930.00,0.57
9929.00,0.58
9928.00,0.58
9927.00,0.58
9926.00,0.58
9925.00,0.58
9924.00,0.58
9923.00,0.58
9922.00,0.58
9921.00,0.58
9920.00,0.58
9919.00,0.58
9918.00,0.58
9917.00,0.57
9916.00,0.57
9915.00,0.57
9914.00,0.57
9913.00,0.57
9912.00,0.56
9911.00,0.56
9910.00,0.56
9909.00,0.55
9908.00,0.55
9907.00,0.54
9906.00,0.54
9905.00,0.54
9904.00,0.54
9903.00,0.54
9902.00,0.54
9901.00,0.54
9900.00,0.54
9899.00,0.54
9898.00,0.55
9897.00,0.55
9896.00,0.56
9895.00,0.56
9894.00,0.57
9893.00,0.57
9892.00,0.58
9891.00,0.59
9890.00,0.59
9889.00,0.60
9888.00,0.61
9887.00,0.61
9886.00,0.62
9885.00,0.63
9884.00,0.64
9883.00,0.64
9882.00,0.65
9881.00,0.66
9880.00,0.67
9879.00,0.67
9878.00,0.68
9877.00,0.69
9876.00,0.69
9875.00,0.70
9874.00,0.70
9873.00,0.71
9872.00,0.71
9871.00,0.71
9870.00,0.71
9869.00,0.72
9868.00,0.72
9867.00,0.72
9866.00,0.72
9865.00,0.72
9864.00,0.72
9863.00,0.71
9862.00,0.71
9861.00,0.71
9860.00,0.70
9859.00,0.70
9858.00,0.69
9857.00,0.69
9856.00,0.68
9855.00,0.68
9854.00,0.67
9853.00,0.67
9852.00,0.66
9851.00,0.66
9850.00,0.65
9849.00,0.65
9848.00,0.64
9847.00,0.64
9846.00,0.63
9845.00,0.62
9844.00,0.62
9843.00,0.61
9842.00,0.61
9841.00,0.60
9840.00,0.60
9839.00,0.59
9838.00,0.59
9837.00,0.58
9836.00,0.58
9835.00,0.57
9834.00,0.57
9833.00,0.56
9832.00,0.56
9831.00,0.55
9830.00,0.54
9829.00,0.54
9828.00,0.53
9827.00,0.53
9826.00,0.52
9825.00,0.52
9824.00,0.51
9823.00,0.51
9822.00,0.50
9821.00,0.50
9820.00,0.50
9819.00,0.49
9818.00,0.49
9817.00,0.48
9816.00,0.48
