创建为新数据集,样品 439 用户 Administrator 日期 星期三, 七月 24 2019
cm-1,%T
12000.00,1.71
11999.00,1.67
11998.00,1.63
11997.00,1.59
11996.00,1.55
11995.00,1.52
11994.00,1.49
11993.00,1.46
11992.00,1.43
11991.00,1.41
11990.00,1.39
11989.00,1.37
11988.00,1.36
11987.00,1.34
11986.00,1.33
11985.00,1.33
11984.00,1.32
11983.00,1.31
11982.00,1.31
11981.00,1.30
11980.00,1.30
11979.00,1.29
11978.00,1.29
11977.00,1.29
11976.00,1.29
11975.00,1.29
11974.00,1.30
11973.00,1.30
11972.00,1.31
11971.00,1.32
11970.00,1.33
11969.00,1.34
11968.00,1.36
11967.00,1.37
11966.00,1.38
11965.00,1.40
11964.00,1.41
11963.00,1.43
11962.00,1.44
11961.00,1.45
11960.00,1.46
11959.00,1.48
11958.00,1.49
11957.00,1.50
11956.00,1.51
11955.00,1.52
11954.00,1.52
11953.00,1.53
11952.00,1.54
11951.00,1.54
11950.00,1.55
11949.00,1.55
11948.00,1.56
11947.00,1.56
11946.00,1.56
11945.00,1.57
11944.00,1.57
11943.00,1.57
11942.00,1.58
11941.00,1.58
11940.00,1.58
11939.00,1.58
11938.00,1.58
11937.00,1.58
11936.00,1.58
11935.00,1.58
11934.00,1.58
11933.00,1.58
11932.00,1.58
11931.00,1.58
11930.00,1.58
11929.00,1.58
11928.00,1.58
11927.00,1.58
11926.00,1.58
11925.00,1.57
11924.00,1.57
11923.00,1.57
11922.00,1.57
11921.00,1.57
11920.00,1.57
11919.00,1.57
11918.00,1.57
11917.00,1.57
11916.00,1.57
11915.00,1.57
11914.00,1.57
11913.00,1.56
11912.00,1.56
11911.00,1.55
11910.00,1.54
11909.00,1.53
11908.00,1.51
11907.00,1.50
11906.00,1.48
11905.00,1.46
11904.00,1.43
11903.00,1.40
11902.00,1.37
11901.00,1.34
11900.00,1.31
11899.00,1.27
11898.00,1.24
11897.00,1.20
11896.00,1.16
11895.00,1.13
11894.00,1.09
11893.00,1.06
11892.00,1.03
11891.00,1.00
11890.00,0.98
11889.00,0.96
11888.00,0.94
11887.00,0.93
11886.00,0.92
11885.00,0.91
11884.00,0.91
11883.00,0.91
11882.00,0.92
11881.00,0.93
11880.00,0.93
11879.00,0.95
11878.00,0.96
11877.00,0.97
11876.00,0.99
11875.00,1.00
11874.00,1.02
11873.00,1.03
11872.00,1.04
11871.00,1.06
11870.00,1.07
11869.00,1.08
11868.00,1.10
11867.00,1.11
11866.00,1.12
11865.00,1.13
11864.00,1.14
11863.00,1.15
11862.00,1.16
11861.00,1.18
11860.00,1.19
11859.00,1.20
11858.00,1.21
11857.00,1.22
11856.00,1.23
11855.00,1.25
11854.00,1.26
11853.00,1.27
11852.00,1.28
11851.00,1.29
11850.00,1.30
11849.00,1.32
11848.00,1.33
11847.00,1.34
11846.00,1.35
11845.00,1.36
11844.00,1.37
11843.00,1.38
11842.00,1.38
11841.00,1.39
11840.00,1.40
11839.00,1.40
11838.00,1.40
11837.00,1.41
11836.00,1.41
11835.00,1.41
11834.00,1.42
11833.00,1.42
11832.00,1.42
11831.00,1.43
11830.00,1.43
11829.00,1.43
11828.00,1.43
11827.00,1.43
11826.00,1.43
11825.00,1.43
