创建为新数据集,样品 011 用户 Administrator 日期 星期二, 十月 31 2017
cm-1,%T
10000.00,1.20
9999.00,1.20
9998.00,1.20
9997.00,1.20
9996.00,1.21
9995.00,1.21
9994.00,1.21
9993.00,1.21
9992.00,1.21
9991.00,1.21
9990.00,1.22
9989.00,1.22
9988.00,1.22
9987.00,1.22
9986.00,1.22
9985.00,1.22
9984.00,1.22
9983.00,1.22
9982.00,1.21
9981.00,1.21
9980.00,1.21
9979.00,1.21
9978.00,1.21
9977.00,1.21
9976.00,1.21
9975.00,1.20
9974.00,1.20
9973.00,1.20
9972.00,1.20
9971.00,1.20
9970.00,1.20
9969.00,1.20
9968.00,1.20
9967.00,1.20
9966.00,1.20
9965.00,1.20
9964.00,1.21
9963.00,1.21
9962.00,1.21
9961.00,1.21
9960.00,1.21
9959.00,1.21
9958.00,1.21
9957.00,1.22
9956.00,1.22
9955.00,1.22
9954.00,1.22
9953.00,1.22
9952.00,1.22
9951.00,1.22
9950.00,1.22
9949.00,1.22
9948.00,1.22
9947.00,1.22
9946.00,1.22
9945.00,1.22
9944.00,1.21
9943.00,1.21
9942.00,1.21
9941.00,1.21
9940.00,1.21
9939.00,1.21
9938.00,1.21
9937.00,1.20
9936.00,1.20
9935.00,1.20
9934.00,1.20
9933.00,1.20
9932.00,1.20
9931.00,1.20
9930.00,1.19
9929.00,1.19
9928.00,1.19
9927.00,1.19
9926.00,1.19
9925.00,1.19
9924.00,1.19
9923.00,1.19
9922.00,1.19
9921.00,1.20
9920.00,1.20
9919.00,1.20
9918.00,1.20
9917.00,1.20
9916.00,1.20
9915.00,1.20
9914.00,1.20
9913.00,1.21
9912.00,1.21
9911.00,1.21
9910.00,1.21
9909.00,1.21
9908.00,1.21
9907.00,1.21
9906.00,1.21
9905.00,1.21
9904.00,1.21
9903.00,1.21
9902.00,1.21
9901.00,1.20
9900.00,1.20
9899.00,1.20
9898.00,1.20
9897.00,1.20
9896.00,1.20
9895.00,1.20
9894.00,1.21
9893.00,1.21
9892.00,1.21
9891.00,1.21
9890.00,1.21
9889.00,1.21
9888.00,1.21
9887.00,1.21
9886.00,1.21
9885.00,1.21
9884.00,1.21
9883.00,1.21
9882.00,1.21
9881.00,1.21
9880.00,1.21
9879.00,1.21
9878.00,1.21
9877.00,1.21
9876.00,1.20
9875.00,1.20
9874.00,1.20
9873.00,1.20
9872.00,1.19
9871.00,1.19
9870.00,1.19
9869.00,1.19
9868.00,1.18
9867.00,1.18
9866.00,1.18
9865.00,1.18
9864.00,1.17
9863.00,1.17
9862.00,1.17
9861.00,1.17
9860.00,1.17
9859.00,1.17
9858.00,1.17
9857.00,1.17
9856.00,1.17
9855.00,1.17
9854.00,1.17
9853.00,1.17
9852.00,1.17
9851.00,1.17
9850.00,1.17
9849.00,1.17
9848.00,1.17
9847.00,1.17
9846.00,1.17
9845.00,1.17
9844.00,1.17
9843.00,1.17
9842.00,1.17
9841.00,1.16
