创建为新数据集,样品 1701 用户 Administrator 日期 星期二, 三月 14 2017
cm-1,%T
10000.00,0.86
9998.00,0.86
9996.00,0.87
9994.00,0.87
9992.00,0.87
9990.00,0.87
9988.00,0.86
9986.00,0.86
9984.00,0.86
9982.00,0.86
9980.00,0.85
9978.00,0.85
9976.00,0.84
9974.00,0.84
9972.00,0.84
9970.00,0.84
9968.00,0.85
9966.00,0.85
9964.00,0.86
9962.00,0.87
9960.00,0.87
9958.00,0.88
9956.00,0.88
9954.00,0.88
9952.00,0.87
9950.00,0.86
9948.00,0.85
9946.00,0.85
9944.00,0.84
9942.00,0.84
9940.00,0.84
9938.00,0.84
9936.00,0.84
9934.00,0.84
9932.00,0.85
9930.00,0.85
9928.00,0.85
9926.00,0.85
9924.00,0.85
9922.00,0.85
9920.00,0.85
9918.00,0.85
9916.00,0.85
9914.00,0.84
9912.00,0.84
9910.00,0.84
9908.00,0.84
9906.00,0.84
9904.00,0.85
9902.00,0.85
9900.00,0.85
9898.00,0.85
9896.00,0.86
9894.00,0.86
9892.00,0.86
9890.00,0.86
9888.00,0.86
9886.00,0.86
9884.00,0.86
9882.00,0.85
9880.00,0.85
9878.00,0.85
9876.00,0.85
9874.00,0.85
9872.00,0.85
9870.00,0.85
9868.00,0.85
9866.00,0.86
9864.00,0.86
9862.00,0.86
9860.00,0.86
9858.00,0.86
9856.00,0.85
9854.00,0.85
9852.00,0.85
9850.00,0.85
9848.00,0.85
9846.00,0.85
9844.00,0.85
9842.00,0.85
9840.00,0.86
9838.00,0.86
9836.00,0.86
9834.00,0.86
9832.00,0.86
9830.00,0.85
9828.00,0.85
9826.00,0.84
9824.00,0.84
9822.00,0.83
9820.00,0.83
9818.00,0.83
9816.00,0.83
9814.00,0.83
9812.00,0.83
9810.00,0.84
9808.00,0.84
9806.00,0.85
9804.00,0.85
9802.00,0.85
9800.00,0.86
9798.00,0.86
9796.00,0.86
9794.00,0.86
9792.00,0.86
9790.00,0.85
9788.00,0.85
9786.00,0.85
9784.00,0.85
9782.00,0.85
9780.00,0.84
9778.00,0.84
9776.00,0.84
9774.00,0.84
9772.00,0.84
9770.00,0.84
9768.00,0.84
9766.00,0.85
9764.00,0.85
9762.00,0.85
9760.00,0.85
9758.00,0.85
9756.00,0.86
9754.00,0.86
9752.00,0.86
9750.00,0.86
9748.00,0.86
9746.00,0.86
9744.00,0.86
9742.00,0.85
9740.00,0.85
9738.00,0.85
9736.00,0.85
9734.00,0.85
9732.00,0.85
9730.00,0.85
9728.00,0.85
9726.00,0.84
9724.00,0.84
9722.00,0.84
9720.00,0.84
9718.00,0.84
9716.00,0.84
9714.00,0.85
9712.00,0.85
9710.00,0.85
9708.00,0.86
9706.00,0.86
9704.00,0.86
9702.00,0.86
9700.00,0.86
9698.00,0.86
9696.00,0.86
9694.00,0.86
9692.00,0.85
9690.00,0.85
9688.00,0.85
9686.00,0.84
9684.00,0.84
9682.00,0.83
9680.00,0.83
9678.00,0.83
9676.00,0.83
9674.00,0.82
9672.00,0.82
9670.00,0.83
9668.00,0.83
9666.00,0.83
9664.00,0.84
9662.00,0.84
9660.00,0.85
9658.00,0.85
9656.00,0.86
9654.00,0.86
9652.00,0.86
9650.00,0.86
9648.00,0.86
9646.00,0.86
9644.00,0.86
9642.00,0.86
9640.00,0.86
9638.00,0.86
9636.00,0.86
9634.00,0.86
9632.00,0.86
9630.00,0.86
9628.00,0.86
9626.00,0.86
9624.00,0.86
9622.00,0.85
9620.00,0.85
9618.00,0.85
9616.00,0.85
9614.00,0.84
9612.00,0.85
9610.00,0.85
9608.00,0.85
9606.00,0.86
9604.00,0.86
9602.00,0.87
9600.00,0.87
9598.00,0.87
9596.00,0.87
9594.00,0.87
9592.00,0.86
9590.00,0.86
9588.00,0.86
9586.00,0.86
9584.00,0.85
9582.00,0.85
9580.00,0.84
9578.00,0.84
9576.00,0.84
9574.00,0.83
9572.00,0.83
9570.00,0.83
9568.00,0.83
9566.00,0.84
9564.00,0.84
9562.00,0.84
9560.00,0.84
9558.00,0.84
9556.00,0.84
9554.00,0.83
9552.00,0.83
9550.00,0.83
9548.00,0.82
9546.00,0.82
9544.00,0.82
9542.00,0.82
9540.00,0.83
9538.00,0.83
9536.00,0.83
9534.00,0.83
9532.00,0.84
9530.00,0.83
9528.00,0.83
9526.00,0.83
9524.00,0.83
9522.00,0.82
